"","X.x","cause","effect","CCMmatchList.x","AggmatchList.x","foodmatchList.x","lowermatchList.x","cantEmbeddingmatchList.x","linearitymatchList.x","SmapMean.x","causepopmean.x","effectpopmean.x","causepopsd.x","effectpopsd.x","causehabitat.x","effecthabitat.x","smapmin.x","smapX1st.x","smapmedian.x","smapmean.x","smapX3rd.x","smapmax.x","strength.x","Strength.x","ratio.x","Smap_cum_sum.x","Smap_abs_mean.x","Neg.x","Pos.x","X.y","cause.y","effect.y","CCMmatchList.y","AggmatchList.y","foodmatchList.y","lowermatchList.y","cantEmbeddingmatchList.y","linearitymatchList.y","SmapMean.y","causepopmean.y","effectpopmean.y","causepopsd.y","effectpopsd.y","causehabitat.y","effecthabitat.y","smapmin.y","smapX1st.y","smapmedian.y","smapmean.y","smapX3rd.y","smapmax.y","strength.y","Strength.y","ratio.y","Smap_cum_sum.y","Smap_abs_mean.y","Neg.y","Pos.y"
"1",12,"Aul.dew","Int.loo","persistence",NA,NA,NA,NA,NA,-0.1882792722,32.8,19.7,34.45636408,15.82143953,"Detritus_feeder","Unicellular_algae_feeder",-0.4060819849,-0.3041134614,-0.1940249078,-0.1882792722,-0.0971445989,0.08463178781,"negative","Negative",0.8947368421,7.154612343,0.1945800916,1,0,1,"Int.loo","Aul.dew","persistence",NA,NA,NA,NA,NA,0.3598831125,19.7,32.8,15.82143953,32.8,"Unicellular_algae_feeder","Detritus_feeder",-0.03464978897,0.2866000572,0.3634567724,0.3598831125,0.4386031783,0.9007331372,"positive","Positive",0.9736842105,13.67555828,0.3617067856,0,1
"2",45,"Int.loo","Lam.tan","persistence",NA,NA,NA,NA,NA,-0.1285993467,19.7,36.625,15.82143953,35.79620915,"Unicellular_algae_feeder","Unicellular_algae_feeder",-0.2871622635,-0.1921576291,-0.1486571219,-0.1285993467,-0.08222218155,0.1268692902,"negative","Negative",0.8947368421,4.886775176,0.1443583375,1,0,15,"Lam.tan","Int.loo","persistence",NA,NA,NA,NA,NA,0.5238505429,36.625,19.7,35.79620915,15.82143953,"Unicellular_algae_feeder","Unicellular_algae_feeder",-0.2783769308,0.4045927308,0.5651134966,0.5238505429,0.659523809,0.9224967681,"positive","Positive",0.9736842105,19.90632063,0.5385019603,0,1
"3",48,"Aul.dew","Neo.fas","persistence",NA,NA,NA,NA,NA,-0.2378304799,32.8,64.1,34.45636408,16.65763858,"Detritus_feeder","Shrimp_feeder",-1.394824883,-0.4783842035,-0.06946282344,-0.2378304799,0.1274198405,0.3785788923,"negative","Negative",0.5526315789,9.037558238,0.3874909851,1,0,4,"Neo.fas","Aul.dew","persistence",NA,NA,NA,NA,NA,0.07077743253,64.1,32.8,16.65763858,32.8,"Shrimp_feeder","Detritus_feeder",-0.3877731261,-0.07119956317,0.06210820788,0.07077743253,0.2004735897,0.6207693038,"positive","Positive",0.6052631579,2.689542436,0.1822669567,0,1
"4",63,"Syn.mul","Neo.sex","persistence",NA,NA,NA,NA,NA,-0.2132755555,5.275,3.825,4.651922679,4.012081115,"Microfilamentous_algae_feeder","Zoobenthos_feeder",-0.8723860102,-0.3263442843,-0.1655642568,-0.2132755555,-0.02607094,0.2255682728,"negative","Negative",0.8157894737,8.10447111,0.2530766378,1,0,97,"Neo.sex","Syn.mul","persistence",NA,NA,NA,NA,NA,0.5850067742,3.825,5.275,4.012081115,4.651922679,"Zoobenthos_feeder","Microfilamentous_algae_feeder",-0.7832643209,0.149492866,0.6477620041,0.5850067742,1.066998935,2.05692415,"positive","Positive",0.8157894737,22.23025742,0.7217793879,0,1
"5",72,"Neo.fas","Oph.ven","persistence",NA,NA,NA,NA,NA,-0.7053203931,64.1,77.95,16.65763858,37.39254691,"Shrimp_feeder","Detritus_feeder",-1.074861613,-0.7760953526,-0.7061521934,-0.7053203931,-0.5955873816,-0.4208923411,"negative","Negative",1,26.80217494,0.7053203931,1,0,52,"Oph.ven","Neo.fas","persistence",NA,NA,NA,NA,NA,0.028811424,77.95,64.1,37.39254691,16.65763858,"Detritus_feeder","Shrimp_feeder",-0.5628547046,-0.1142502165,0.04361925462,0.028811424,0.2152443153,0.5234037904,"positive","Positive",0.5789473684,1.094834112,0.209135702,0,1
"6",75,"Tro.moo","Oph.ven","persistence",NA,NA,NA,NA,NA,-0.5704596137,72.425,77.95,25.72027784,37.39254691,"Filamentous_algae_feeder","Detritus_feeder",-0.9215131961,-0.6513778317,-0.5735047548,-0.5704596137,-0.4568891532,-0.3020214005,"negative","Negative",1,21.67746532,0.5704596137,1,0,109,"Oph.ven","Tro.moo","persistence",NA,NA,NA,NA,NA,0.0005471781897,77.95,72.425,37.39254691,25.72027784,"Detritus_feeder","Filamentous_algae_feeder",-0.1263818105,-0.02330376843,0.0103562716,0.0005471781897,0.03096347946,0.08779037764,"positive","Positive",0.5789473684,0.02079277121,0.03882186798,0,1
"7",93,"Aul.dew","Pet.tre","persistence",NA,NA,NA,NA,NA,-0.05046467042,32.8,24.675,34.45636408,8.134722979,"Detritus_feeder","Unicellular_algae_feeder",-0.3259468183,-0.1806670581,-0.06455724671,-0.05046467042,0.02318785241,0.3255399307,"negative","Negative",0.6315789474,1.917657476,0.1407666397,1,0,8,"Pet.tre","Aul.dew","persistence",NA,NA,NA,NA,NA,0.2536216463,24.675,32.8,8.134722979,32.8,"Unicellular_algae_feeder","Detritus_feeder",-0.1365375979,0.07355296317,0.1879763356,0.2536216463,0.4585880202,0.7331792723,"positive","Positive",0.8421052632,9.637622559,0.270691081,0,1
"8",98,"Tel.vit","Syn.mul","persistence",NA,NA,NA,NA,NA,-0.3299086624,159.55,5.275,47.19080202,4.651922679,"Filamentous_algae_feeder","Microfilamentous_algae_feeder",-3.681735802,-0.8298981762,-0.1387522415,-0.3299086624,0.1297847228,2.283665927,"negative","Negative",0.6052631579,12.53652917,0.7110401825,1,0,119,"Syn.mul","Tel.vit","persistence",NA,NA,NA,NA,NA,0.09717571847,5.275,159.55,4.651922679,47.19080202,"Microfilamentous_algae_feeder","Filamentous_algae_feeder",-0.2915475412,-0.00826319051,0.116026667,0.09717571847,0.1822952147,0.4110311687,"positive","Positive",0.7368421053,3.692677302,0.1533999059,0,1
"9",103,"Lep.att","Tro.moo","persistence",NA,NA,NA,NA,NA,-0.2702772903,3.775,72.425,6.141441825,25.72027784,"Fry_feeder","Filamentous_algae_feeder",-0.4487609148,-0.3085695964,-0.2654567229,-0.2702772903,-0.2195580344,-0.1405856534,"negative","Negative",1,10.27053703,0.2702772903,1,0,28,"Tro.moo","Lep.att","persistence",NA,NA,NA,NA,NA,0.2036927104,72.425,3.775,25.72027784,6.141441825,"Filamentous_algae_feeder","Fry_feeder",0.09145254182,0.1966258847,0.2017464018,0.2036927104,0.2147461734,0.2462051693,"positive","Positive",1,7.740322995,0.2036927104,0,1
"10",107,"Neo.fas","Tro.moo","persistence",NA,0.05,NA,NA,NA,-0.005453111537,64.1,72.425,16.65763858,25.72027784,"Shrimp_feeder","Filamentous_algae_feeder",-0.1577652836,-0.04877826618,-0.009927108372,-0.005453111537,0.02945020185,0.1647322668,"negative","Negative",0.5263157895,0.2072182384,0.05016966489,1,0,57,"Tro.moo","Neo.fas","persistence",NA,NA,NA,NA,NA,0.1958698514,72.425,64.1,25.72027784,16.65763858,"Filamentous_algae_feeder","Shrimp_feeder",-0.4187331178,-0.02197375558,0.2704592546,0.1958698514,0.3975289759,0.6343386695,"positive","Positive",0.7105263158,7.443054353,0.2951985826,0,1
