"","X.x","cause","effect","CCMmatchList.x","AggmatchList.x","foodmatchList.x","lowermatchList.x","cantEmbeddingmatchList.x","linearitymatchList.x","SmapMean.x","causepopmean.x","effectpopmean.x","causepopsd.x","effectpopsd.x","causehabitat.x","effecthabitat.x","smapmin.x","smapX1st.x","smapmedian.x","smapmean.x","smapX3rd.x","smapmax.x","strength.x","Strength.x","ratio.x","Smap_cum_sum.x","Smap_abs_mean.x","Neg.x","Pos.x","X.y","cause.y","effect.y","CCMmatchList.y","AggmatchList.y","foodmatchList.y","lowermatchList.y","cantEmbeddingmatchList.y","linearitymatchList.y","SmapMean.y","causepopmean.y","effectpopmean.y","causepopsd.y","effectpopsd.y","causehabitat.y","effecthabitat.y","smapmin.y","smapX1st.y","smapmedian.y","smapmean.y","smapX3rd.y","smapmax.y","strength.y","Strength.y","ratio.y","Smap_cum_sum.y","Smap_abs_mean.y","Neg.y","Pos.y"
"1",5,"Oph.ven","Aul.dew","persistence",NA,NA,NA,NA,NA,-0.4253967487,77.95,32.8,37.39254691,32.8,"Detritus_feeder","Detritus_feeder",-1.0327645,-0.5611413151,-0.4080255405,-0.4253967487,-0.2448715899,-0.03577761215,"negative","Negative",1,16.16507645,0.4253967487,1,0,67,"Aul.dew","Oph.ven","persistence",NA,NA,NA,NA,NA,-0.1845139241,32.8,77.95,34.45636408,37.39254691,"Detritus_feeder","Detritus_feeder",-0.4501113894,-0.2324819108,-0.166597794,-0.1845139241,-0.1159228598,0.004804249057,"negative","Negative",0.9736842105,7.011529116,0.1847667793,1,0
"2",6,"Per.mic","Aul.dew","persistence",NA,NA,NA,NA,NA,-0.2835583937,30.975,32.8,18.58105942,32.8,"Scale_feeder","Detritus_feeder",-0.7304846578,-0.3898301059,-0.2788019076,-0.2835583937,-0.1509090193,0.08414530517,"negative","Negative",0.9210526316,10.77521896,0.2890010797,1,0,79,"Aul.dew","Per.mic","persistence",NA,NA,NA,NA,NA,-0.1439689771,32.8,30.975,34.45636408,18.58105942,"Detritus_feeder","Scale_feeder",-0.3448424916,-0.2203101521,-0.1717046593,-0.1439689771,-0.09181318236,0.2343857699,"negative","Negative",0.8421052632,5.470821129,0.176547309,1,0
"3",9,"Tro.moo","Aul.dew","persistence",NA,NA,NA,NA,NA,-0.4689434519,72.425,32.8,25.72027784,32.8,"Filamentous_algae_feeder","Detritus_feeder",-0.8104170222,-0.5664043325,-0.4779794252,-0.4689434519,-0.3765947228,0.07006639803,"negative","Negative",0.9736842105,17.81985117,0.4726311571,1,0,100,"Aul.dew","Tro.moo","persistence",NA,NA,NA,NA,NA,-0.5445594283,32.8,72.425,34.45636408,25.72027784,"Detritus_feeder","Filamentous_algae_feeder",-0.6873203633,-0.5889214263,-0.5453385842,-0.5445594283,-0.5101099012,-0.3911299388,"negative","Negative",1,20.69325828,0.5445594283,1,0
"4",17,"Oph.ven","Int.loo","persistence",NA,NA,NA,NA,NA,-0.1321040205,77.95,19.7,37.39254691,15.82143953,"Detritus_feeder","Unicellular_algae_feeder",-0.4546042187,-0.2066891234,-0.1152362068,-0.1321040205,-0.04465421555,0.09489757358,"negative","Negative",0.8684210526,5.019952781,0.1460209341,1,0,69,"Int.loo","Oph.ven","persistence",NA,NA,NA,NA,NA,-0.3723879457,19.7,77.95,15.82143953,37.39254691,"Unicellular_algae_feeder","Detritus_feeder",-0.7718608401,-0.4898788826,-0.3836690677,-0.3723879457,-0.2541127976,-0.1200479629,"negative","Negative",1,14.15074194,0.3723879457,1,0
"5",20,"Tro.moo","Int.loo","persistence",NA,NA,NA,NA,NA,-0.1407321989,72.425,19.7,25.72027784,15.82143953,"Filamentous_algae_feeder","Unicellular_algae_feeder",-0.3454753455,-0.233440159,-0.1503724196,-0.1407321989,-0.06451240189,0.129091578,"negative","Negative",0.8421052632,5.347823557,0.1606631693,1,0,101,"Int.loo","Tro.moo","persistence",NA,NA,NA,NA,NA,-0.08095286777,19.7,72.425,15.82143953,25.72027784,"Unicellular_algae_feeder","Filamentous_algae_feeder",-0.3584944794,-0.1614666661,-0.09525423977,-0.08095286777,-0.005020985356,0.1671047023,"negative","Negative",0.7631578947,3.076208975,0.1108368045,1,0
"6",25,"Per.mic","Jul.orn","persistence",NA,NA,NA,NA,NA,-0.2062111369,30.975,23.275,18.58105942,16.49706656,"Scale_feeder","Sponge_feeder",-1.82154687,-0.3733258269,-0.1988497796,-0.2062111369,0.1089109372,0.4961910245,"negative","Negative",0.6578947368,7.836023203,0.363501082,1,0,81,"Jul.orn","Per.mic","persistence",NA,NA,NA,NA,NA,-0.211683243,23.275,30.975,16.49706656,18.58105942,"Sponge_feeder","Scale_feeder",-0.4822225996,-0.2628843715,-0.2171646221,-0.211683243,-0.1417570588,0.00614466781,"negative","Negative",0.9736842105,8.043963236,0.2120066466,1,0
"7",56,"Syn.mul","Neo.fas","persistence",NA,NA,NA,NA,NA,-0.3308658246,5.275,64.1,4.651922679,16.65763858,"Microfilamentous_algae_feeder","Shrimp_feeder",-0.9026944979,-0.5576860726,-0.3900123617,-0.3308658246,-0.1416806412,0.3759782126,"negative","Negative",0.8421052632,12.57290134,0.3974814527,1,0,96,"Neo.fas","Syn.mul","persistence",NA,NA,NA,NA,NA,-0.3897324378,64.1,5.275,16.65763858,4.651922679,"Shrimp_feeder","Microfilamentous_algae_feeder",-1.962453017,-0.9962215043,-0.3058066065,-0.3897324378,0.1560360681,1.101906308,"negative","Negative",0.5789473684,14.80983263,0.7414944778,1,0
"8",65,"Tel.vit","Neo.sex","persistence",NA,NA,NA,NA,NA,-0.1654815567,159.55,3.825,47.19080202,4.012081115,"Filamentous_algae_feeder","Zoobenthos_feeder",-0.9545236789,-0.4408960992,-0.1024466583,-0.1654815567,0.1119400671,0.555277882,"negative","Negative",0.6315789474,6.288299153,0.3153214654,1,0,117,"Neo.sex","Tel.vit","persistence",NA,NA,NA,NA,NA,-0.167017887,3.825,159.55,4.012081115,47.19080202,"Zoobenthos_feeder","Filamentous_algae_feeder",-0.4900045437,-0.2790450197,-0.1828998435,-0.167017887,-0.04539934504,0.2829310544,"negative","Negative",0.8421052632,6.346679705,0.2020080198,1,0
"9",67,"Aul.dew","Oph.ven","persistence",NA,NA,NA,NA,NA,-0.1845139241,32.8,77.95,34.45636408,37.39254691,"Detritus_feeder","Detritus_feeder",-0.4501113894,-0.2324819108,-0.166597794,-0.1845139241,-0.1159228598,0.004804249057,"negative","Negative",0.9736842105,7.011529116,0.1847667793,1,0,5,"Oph.ven","Aul.dew","persistence",NA,NA,NA,NA,NA,-0.4253967487,77.95,32.8,37.39254691,32.8,"Detritus_feeder","Detritus_feeder",-1.0327645,-0.5611413151,-0.4080255405,-0.4253967487,-0.2448715899,-0.03577761215,"negative","Negative",1,16.16507645,0.4253967487,1,0
"10",69,"Int.loo","Oph.ven","persistence",NA,NA,NA,NA,NA,-0.3723879457,19.7,77.95,15.82143953,37.39254691,"Unicellular_algae_feeder","Detritus_feeder",-0.7718608401,-0.4898788826,-0.3836690677,-0.3723879457,-0.2541127976,-0.1200479629,"negative","Negative",1,14.15074194,0.3723879457,1,0,17,"Oph.ven","Int.loo","persistence",NA,NA,NA,NA,NA,-0.1321040205,77.95,19.7,37.39254691,15.82143953,"Detritus_feeder","Unicellular_algae_feeder",-0.4546042187,-0.2066891234,-0.1152362068,-0.1321040205,-0.04465421555,0.09489757358,"negative","Negative",0.8684210526,5.019952781,0.1460209341,1,0
