"","X","cause","effect","CCMmatchList","AggmatchList","foodmatchList","lowermatchList","cantEmbeddingmatchList","linearitymatchList","SmapMean","causepopmean","effectpopmean","causepopsd","effectpopsd","causehabitat","effecthabitat","smapmin","smapX1st","smapmedian","smapmean","smapX3rd","smapmax","strength","Strength","ratio","Smap_cum_sum","Smap_abs_mean","Neg","Pos"
"2",2,"Jul.orn","Aul.dew","persistence",NA,NA,NA,NA,NA,0.2169735546,23.275,32.8,16.49706656,32.8,"Sponge_feeder","Detritus_feeder",-0.7520426347,0.0440078138,0.1960635843,0.2169735546,0.4400942081,1.014741061,"positive","Positive",0.7894736842,8.244995075,0.3272381614,0,1
"3",3,"Lim.dar","Aul.dew","persistence",NA,NA,NA,NA,NA,0.2673801922,9.75,32.8,6.993586806,32.8,"Unicellular_algae_feeder","Detritus_feeder",-0.04075554821,0.227625821,0.2788327903,0.2673801922,0.3366632497,0.4307053974,"positive","Positive",0.9736842105,10.1604473,0.2695252211,0,1
"10",10,"Var.moo","Aul.dew","persistence",NA,NA,NA,NA,NA,0.6187251171,129.15,32.8,30.64063834,32.8,"Microfilamentous_algae_feeder","Detritus_feeder",0.06595079762,0.381383926,0.5132550217,0.6187251171,0.8004875714,1.401277401,"positive","Positive",1,23.51155445,0.6187251171,0,1
"11",11,"Xen.pap","Aul.dew","persistence",NA,NA,NA,NA,NA,0.1791910673,5.575,32.8,3.29636552,32.8,"Filamentous_algae_feeder","Detritus_feeder",-0.1065959118,0.1067183434,0.1685516408,0.1791910673,0.2340978488,0.5102488804,"positive","Positive",0.8947368421,6.809260558,0.19241651,0,1
"18",18,"Par.spp","Int.loo","persistence",NA,NA,NA,NA,NA,0.1802416599,54.325,19.7,88.0132238,15.82143953,"Zooplankton_feeder","Unicellular_algae_feeder",-0.3898825312,-0.04659541968,0.1745569616,0.1802416599,0.3711045494,0.8420802311,"positive","Positive",0.7105263158,6.849183077,0.2681643919,0,1
"27",27,"Pet.tre","Lep.att","persistence",NA,NA,NA,NA,NA,0.1430839052,24.675,3.775,8.134722979,6.141441825,"Unicellular_algae_feeder","Fry_feeder",0.1009245957,0.141644166,0.1446045208,0.1430839052,0.1476057538,0.1798796943,"positive","Positive",1,5.437188399,0.1430839052,0,1
"29",29,"Aul.dew","Lam.cal","persistence",NA,NA,NA,NA,NA,0.2352967717,32.8,11.55,34.45636408,10.65291582,"Detritus_feeder","Shrimp_feeder",-0.7235484007,-0.1412714008,0.08972231395,0.2352967717,0.4613179396,2.315096326,"positive","Positive",0.5526315789,8.941277324,0.4367428929,0,1
"31",31,"Lep.att","Lam.cal","persistence",NA,NA,NA,NA,NA,0.5836001873,3.775,11.55,6.141441825,10.65291582,"Fry_feeder","Shrimp_feeder",-1.293282132,0.06092968679,0.6213087031,0.5836001873,0.9459488372,2.402882177,"positive","Positive",0.7631578947,22.17680712,0.8099516638,0,1
"33",33,"Gna.pfe","Lim.dar","persistence",NA,NA,NA,NA,NA,0.06775402049,7.5,9.75,4.585372507,6.993586806,"Shrimp_feeder","Unicellular_algae_feeder",-1.459492568,-0.129056993,0.2251546402,0.06775402049,0.3536492558,0.671661486,"positive","Positive",0.6052631579,2.574652779,0.3582172528,0,1
"35",35,"Per.mic","Lim.dar","persistence",NA,NA,NA,NA,NA,0.08940165138,30.975,9.75,18.58105942,6.993586806,"Scale_feeder","Unicellular_algae_feeder",-0.8466316812,-0.1832608546,-0.003854913283,0.08940165138,0.362160359,1.243922126,"positive","Positive",0.5263157895,3.397262752,0.3798195655,0,1
"39",39,"Tro.moo","Lep.elo","persistence",NA,NA,NA,NA,NA,0.1053110188,72.425,12.325,25.72027784,10.43757389,"Filamentous_algae_feeder","Fish_feeder",-1.294206904,-0.1639989327,0.1613727983,0.1053110188,0.421843776,1.260174997,"positive","Positive",0.6578947368,4.001818713,0.4534884782,0,1
"42",42,"Xen.pap","Lep.elo","persistence",NA,NA,NA,NA,NA,0.4337887759,5.575,12.325,3.29636552,10.43757389,"Filamentous_algae_feeder","Fish_feeder",-1.44315682,-0.2849959015,0.02598148196,0.4337887759,0.7342964011,3.713194209,"positive","Positive",0.5263157895,16.48397348,0.8117166008,0,1
"43",43,"Lep.att","Lob.lab","persistence",NA,NA,NA,NA,NA,0.145024387,3.775,9.95,6.141441825,3.296851645,"Fry_feeder","Zoobenthos_feeder",-6.158787303,-1.422715423,0.316369057,0.145024387,2.002062963,10.26573211,"positive","Positive",0.6578947368,5.510926706,2.497417993,0,1
"44",44,"Aul.dew","Lam.lem","persistence",NA,NA,NA,NA,NA,1.342272893,32.8,3.125,34.45636408,2.311481931,"Detritus_feeder","Fish_feeder",-7.205185427,-0.6235737246,1.117691485,1.342272893,3.290475725,8.052471282,"positive","Positive",0.6315789474,51.00636993,2.653939561,0,1
"46",46,"Lep.att","Lam.tan","persistence",NA,NA,NA,NA,NA,1.404299825,3.775,36.625,6.141441825,35.79620915,"Fry_feeder","Unicellular_algae_feeder",-0.111067821,1.024745682,1.635746269,1.404299825,1.839534742,2.325313062,"positive","Positive",0.9473684211,53.36339334,1.413190227,0,1
"50",50,"Jul.orn","Neo.fas","persistence",NA,NA,NA,NA,NA,0.400946556,23.275,64.1,16.49706656,16.65763858,"Sponge_feeder","Shrimp_feeder",-0.7959017331,-0.1078127742,0.3487901776,0.400946556,0.9779769247,1.69425366,"positive","Positive",0.6578947368,15.23596913,0.6220392423,0,1
"51",51,"Lam.cal","Neo.fas","persistence",NA,NA,NA,NA,NA,0.3458872073,11.55,64.1,10.65291582,16.65763858,"Shrimp_feeder","Shrimp_feeder",-0.8838001237,0.1987473178,0.3352129386,0.3458872073,0.5838707053,1.192825287,"positive","Positive",0.8684210526,13.14371388,0.4618559583,0,1
"53",53,"Par.spp","Neo.fas","persistence",NA,NA,NA,NA,NA,0.09149204575,54.325,64.1,88.0132238,16.65763858,"Zooplankton_feeder","Shrimp_feeder",-0.5429307313,-0.211097948,0.1291564286,0.09149204575,0.3930241398,0.6488657772,"positive","Positive",0.6052631579,3.476697738,0.3080004001,0,1
"58",58,"Xen.pap","Neo.fas","persistence",NA,NA,NA,NA,NA,0.05745729211,5.575,64.1,3.29636552,16.65763858,"Filamentous_algae_feeder","Shrimp_feeder",-0.6631879306,-0.1197883323,0.07553190646,0.05745729211,0.2718798189,0.5408322555,"positive","Positive",0.6578947368,2.1833771,0.2419863843,0,1
"59",59,"Aul.dew","Neo.sex","persistence",NA,NA,NA,NA,NA,0.0426503158,32.8,3.825,34.45636408,4.012081115,"Detritus_feeder","Zoobenthos_feeder",-0.3658887047,-0.09224930193,0.06281704616,0.0426503158,0.1551118125,0.593948237,"positive","Positive",0.5789473684,1.620712,0.1533463535,0,1
"60",60,"Gna.pfe","Neo.sex","persistence",NA,NA,NA,NA,NA,0.02412600013,7.5,3.825,4.585372507,4.012081115,"Shrimp_feeder","Zoobenthos_feeder",-0.6450066946,-0.04756761465,0.07881447847,0.02412600013,0.2045790556,0.4996881044,"positive","Positive",0.6578947368,0.9167880048,0.2221323799,0,1
"61",61,"Jul.orn","Neo.sex","persistence",NA,NA,NA,NA,NA,0.07671057734,23.275,3.825,16.49706656,4.012081115,"Sponge_feeder","Zoobenthos_feeder",-0.8683696136,0.00178156354,0.136395091,0.07671057734,0.2566512935,0.7614338284,"positive","Positive",0.7631578947,2.915001939,0.2722113932,0,1
"68",68,"Gna.pfe","Oph.ven","persistence",NA,NA,NA,NA,NA,0.3616496581,7.5,77.95,4.585372507,37.39254691,"Shrimp_feeder","Detritus_feeder",0.1444343518,0.2325896142,0.3744104959,0.3616496581,0.461989242,0.6585468658,"positive","Positive",1,13.74268701,0.3616496581,0,1
"71",71,"Lam.cal","Oph.ven","persistence",NA,NA,NA,NA,NA,0.07870330158,11.55,77.95,10.65291582,37.39254691,"Shrimp_feeder","Detritus_feeder",-0.2750270958,-0.0920796778,0.04619075559,0.07870330158,0.2272218738,0.4344532866,"positive","Positive",0.5526315789,2.99072546,0.1812089513,0,1
