"","X.x","cause","effect","CCMmatchList.x","AggmatchList.x","foodmatchList.x","lowermatchList.x","cantEmbeddingmatchList.x","linearitymatchList.x","SmapMean.x","causepopmean.x","effectpopmean.x","causepopsd.x","effectpopsd.x","causehabitat.x","effecthabitat.x","smapmin.x","smapX1st.x","smapmedian.x","smapmean.x","smapX3rd.x","smapmax.x","strength.x","Strength.x","ratio.x","Smap_cum_sum.x","Smap_abs_mean.x","Neg.x","Pos.x","X.y","cause.y","effect.y","CCMmatchList.y","AggmatchList.y","foodmatchList.y","lowermatchList.y","cantEmbeddingmatchList.y","linearitymatchList.y","SmapMean.y","causepopmean.y","effectpopmean.y","causepopsd.y","effectpopsd.y","causehabitat.y","effecthabitat.y","smapmin.y","smapX1st.y","smapmedian.y","smapmean.y","smapX3rd.y","smapmax.y","strength.y","Strength.y","ratio.y","Smap_cum_sum.y","Smap_abs_mean.y","Neg.y","Pos.y"
"1",16,"Neo.fas","Int.loo","persistence",NA,NA,NA,NA,NA,0.1819992612,64.1,19.7,16.65763858,15.82143953,"Shrimp_feeder","Unicellular_algae_feeder",-0.1710914249,0.08695419921,0.1761928004,0.1819992612,0.2943317816,0.5485576685,"positive","Positive",0.8684210526,6.915971927,0.2128087223,0,1,49,"Int.loo","Neo.fas","persistence",NA,NA,NA,NA,NA,0.193723581,19.7,64.1,15.82143953,16.65763858,"Unicellular_algae_feeder","Shrimp_feeder",-0.4540681326,0.04746724822,0.2027781299,0.193723581,0.38010946,0.6187873169,"positive","Positive",0.7631578947,7.361496078,0.2783492487,0,1
"2",23,"Lam.cal","Jul.orn","persistence",NA,NA,NA,NA,NA,0.781578945,11.55,23.275,10.65291582,16.49706656,"Shrimp_feeder","Sponge_feeder",-0.1452431124,0.4264560237,0.7220245944,0.781578945,1.047627575,2.692473061,"positive","Positive",0.9736842105,29.69999991,0.7892233193,0,1,30,"Jul.orn","Lam.cal","persistence",NA,NA,NA,NA,NA,0.240757809,23.275,11.55,16.49706656,10.65291582,"Sponge_feeder","Shrimp_feeder",-1.141854347,-0.1541035621,0.2465156672,0.240757809,0.4614554769,1.608555037,"positive","Positive",0.6315789474,9.148796742,0.5058717853,0,1
"3",24,"Oph.ven","Jul.orn","persistence",NA,NA,NA,NA,NA,0.1842384539,77.95,23.275,37.39254691,16.49706656,"Detritus_feeder","Sponge_feeder",-0.3062980448,0.03192467399,0.1849508976,0.1842384539,0.3384781278,0.7064096084,"positive","Positive",0.8684210526,7.001061248,0.2339572993,0,1,70,"Jul.orn","Oph.ven","persistence",NA,NA,NA,NA,NA,0.01690626725,23.275,77.95,16.49706656,37.39254691,"Sponge_feeder","Detritus_feeder",-0.4483824289,-0.2089440087,-0.04743717724,0.01690626725,0.208003681,0.7351734338,"positive","Positive",0.5789473684,0.6424381556,0.2354569653,0,1
"4",30,"Jul.orn","Lam.cal","persistence",NA,NA,NA,NA,NA,0.240757809,23.275,11.55,16.49706656,10.65291582,"Sponge_feeder","Shrimp_feeder",-1.141854347,-0.1541035621,0.2465156672,0.240757809,0.4614554769,1.608555037,"positive","Positive",0.6315789474,9.148796742,0.5058717853,0,1,23,"Lam.cal","Jul.orn","persistence",NA,NA,NA,NA,NA,0.781578945,11.55,23.275,10.65291582,16.49706656,"Shrimp_feeder","Sponge_feeder",-0.1452431124,0.4264560237,0.7220245944,0.781578945,1.047627575,2.692473061,"positive","Positive",0.9736842105,29.69999991,0.7892233193,0,1
"5",49,"Int.loo","Neo.fas","persistence",NA,NA,NA,NA,NA,0.193723581,19.7,64.1,15.82143953,16.65763858,"Unicellular_algae_feeder","Shrimp_feeder",-0.4540681326,0.04746724822,0.2027781299,0.193723581,0.38010946,0.6187873169,"positive","Positive",0.7631578947,7.361496078,0.2783492487,0,1,16,"Neo.fas","Int.loo","persistence",NA,NA,NA,NA,NA,0.1819992612,64.1,19.7,16.65763858,15.82143953,"Shrimp_feeder","Unicellular_algae_feeder",-0.1710914249,0.08695419921,0.1761928004,0.1819992612,0.2943317816,0.5485576685,"positive","Positive",0.8684210526,6.915971927,0.2128087223,0,1
"6",54,"Per.mic","Neo.fas","persistence",NA,NA,NA,NA,NA,0.2992506397,30.975,64.1,18.58105942,16.65763858,"Scale_feeder","Shrimp_feeder",-0.3928431388,0.1171830459,0.264429157,0.2992506397,0.4696593843,0.9529221018,"positive","Positive",0.9210526316,11.37152431,0.3258590247,0,1,84,"Neo.fas","Per.mic","persistence",NA,NA,NA,NA,NA,0.1670425551,64.1,30.975,16.65763858,18.58105942,"Shrimp_feeder","Scale_feeder",-0.3373783404,-0.02110584341,0.143305485,0.1670425551,0.3627025667,0.7364338984,"positive","Positive",0.6842105263,6.347617093,0.2239193223,0,1
"7",64,"Tro.moo","Neo.sex","persistence",NA,NA,NA,NA,NA,0.2836662065,72.425,3.825,25.72027784,4.012081115,"Filamentous_algae_feeder","Zoobenthos_feeder",-0.1465204862,0.1044869393,0.220493172,0.2836662065,0.4010918592,0.9267156049,"positive","Positive",0.8947368421,10.77931585,0.2979446484,0,1,108,"Neo.sex","Tro.moo","persistence",NA,NA,NA,NA,NA,0.2664867678,3.825,72.425,4.012081115,25.72027784,"Zoobenthos_feeder","Filamentous_algae_feeder",0.07238538697,0.1929982854,0.2599856919,0.2664867678,0.3585472085,0.5001241606,"positive","Positive",1,10.12649717,0.2664867678,0,1
"8",70,"Jul.orn","Oph.ven","persistence",NA,NA,NA,NA,NA,0.01690626725,23.275,77.95,16.49706656,37.39254691,"Sponge_feeder","Detritus_feeder",-0.4483824289,-0.2089440087,-0.04743717724,0.01690626725,0.208003681,0.7351734338,"positive","Positive",0.5789473684,0.6424381556,0.2354569653,0,1,24,"Oph.ven","Jul.orn","persistence",NA,NA,NA,NA,NA,0.1842384539,77.95,23.275,37.39254691,16.49706656,"Detritus_feeder","Sponge_feeder",-0.3062980448,0.03192467399,0.1849508976,0.1842384539,0.3384781278,0.7064096084,"positive","Positive",0.8684210526,7.001061248,0.2339572993,0,1
"9",73,"Per.mic","Oph.ven","persistence",NA,0.05,NA,NA,NA,0.2632562001,30.975,77.95,18.58105942,37.39254691,"Scale_feeder","Detritus_feeder",-0.000237214891,0.1831875127,0.2304838389,0.2632562001,0.3532572916,0.504906063,"positive","Positive",0.9736842105,10.00373561,0.2632686851,0,1,85,"Oph.ven","Per.mic","persistence",NA,NA,NA,NA,NA,0.2590946296,77.95,30.975,37.39254691,18.58105942,"Detritus_feeder","Scale_feeder",-0.06809644439,0.1986442249,0.2614017276,0.2590946296,0.3083530568,0.4706029051,"positive","Positive",0.9736842105,9.845595923,0.2626786529,0,1
"10",84,"Neo.fas","Per.mic","persistence",NA,NA,NA,NA,NA,0.1670425551,64.1,30.975,16.65763858,18.58105942,"Shrimp_feeder","Scale_feeder",-0.3373783404,-0.02110584341,0.143305485,0.1670425551,0.3627025667,0.7364338984,"positive","Positive",0.6842105263,6.347617093,0.2239193223,0,1,54,"Per.mic","Neo.fas","persistence",NA,NA,NA,NA,NA,0.2992506397,30.975,64.1,18.58105942,16.65763858,"Scale_feeder","Shrimp_feeder",-0.3928431388,0.1171830459,0.264429157,0.2992506397,0.4696593843,0.9529221018,"positive","Positive",0.9210526316,11.37152431,0.3258590247,0,1
