"","x"
"1","A_compressiceps"
"2","A_dewindti"
"3","Cyathopharynx"
"4","Cyprichromissp"
"5","E_cyanostictus"
"6","G_pfefferi"
"7","H_microlepis"
"8","I_loocki"
"9","J_ornatus"
"10","L_attenuatus"
"11","L_callipterus"
"12","L_dardennii"
"13","L_elongatus"
"14","L_labiatus"
"15","L_lemairii"
"16","L_tanganicanus"
"17","N_fasciatus"
"18","N_pulcher"
"19","N_savoryi"
"20","N_sexfasciatus"
"21","O_ventralis"
"22","Paracyprichromisspp"
"23","P_microlepis"
"24","P_polyodon"
"25","P_trewavasae"
"26","S_diagramma"
"27","Synodontis_multipunctatus"
"28","T_moorii"
"29","T_temporalis"
"30","T_vittatus"
"31","Variabilichromis_moorii"
"32","X_papilio"
