"","effect","cause","menas"
"1","A_compressiceps","A_compressiceps","Min.   :-0.259769809193993"
"2","A_compressiceps","A_compressiceps","1st Qu.:-0.0720591716896848"
"3","A_compressiceps","A_compressiceps","Median :0.00278861165465629"
"4","A_compressiceps","A_compressiceps","Mean   :-0.0221048681163543"
"5","A_compressiceps","A_compressiceps","3rd Qu.:0.0459539907848243"
"6","A_compressiceps","A_compressiceps","Max.   :0.1956105875203"
"7","A_compressiceps","G_pfefferi","Min.   :-0.0394952723558439"
"8","A_compressiceps","G_pfefferi","1st Qu.:0.0891615809541079"
"9","A_compressiceps","G_pfefferi","Median :0.220589886521277"
"10","A_compressiceps","G_pfefferi","Mean   :0.199082983530969"
"11","A_compressiceps","G_pfefferi","3rd Qu.:0.291549738250771"
"12","A_compressiceps","G_pfefferi","Max.   :0.471777179588461"
"13","A_compressiceps","L_callipterus","Min.   :0.119071439975513"
"14","A_compressiceps","L_callipterus","1st Qu.:0.500054043242622"
"15","A_compressiceps","L_callipterus","Median :0.611435686821712"
"16","A_compressiceps","L_callipterus","Mean   :0.605450002256874"
"17","A_compressiceps","L_callipterus","3rd Qu.:0.683733783232878"
"18","A_compressiceps","L_callipterus","Max.   :1.04970071298034"
"19","A_compressiceps","L_labiatus","Min.   :-0.213545370261963"
"20","A_compressiceps","L_labiatus","1st Qu.:-0.117565133795762"
"21","A_compressiceps","L_labiatus","Median :-0.0437727118265002"
"22","A_compressiceps","L_labiatus","Mean   :-0.0493388994409863"
"23","A_compressiceps","L_labiatus","3rd Qu.:0.00284200213152368"
"24","A_compressiceps","L_labiatus","Max.   :0.261612773746949"
"25","A_compressiceps","N_sexfasciatus","Min.   :-0.129800350801252"
"26","A_compressiceps","N_sexfasciatus","1st Qu.:0.241626687355998"
"27","A_compressiceps","N_sexfasciatus","Median :0.376738639703118"
"28","A_compressiceps","N_sexfasciatus","Mean   :0.334326895164721"
"29","A_compressiceps","N_sexfasciatus","3rd Qu.:0.42695537226519"
"30","A_compressiceps","N_sexfasciatus","Max.   :0.739328520578452"
"31","A_compressiceps","Paracyprichromisspp","Min.   :-0.269655076815123"
"32","A_compressiceps","Paracyprichromisspp","1st Qu.:0.00146113758774141"
"33","A_compressiceps","Paracyprichromisspp","Median :0.0657348323923697"
"34","A_compressiceps","Paracyprichromisspp","Mean   :0.0716295357389855"
"35","A_compressiceps","Paracyprichromisspp","3rd Qu.:0.143692392554665"
"36","A_compressiceps","Paracyprichromisspp","Max.   :0.274414531048777"
"37","A_compressiceps","P_microlepis","Min.   :-0.167799091364404"
