"","x"
"A_compressiceps",14.8040043290043
"J_ornatus",36.8845238095238
"N_fasciatus",58.3608225108225
"O_ventralis",26.6441558441558
"A_dewindti",135.791666666667
"I_loocki",12.7154761904762
"L_callipterus",71.5321428571428
"L_lemairii",23
"N_sexfasciatus",23.8818181818182
"P_microlepis",49.3377705627706
"P_trewavasae",47.625
"T_vittatus",19.0270562770563
"G_pfefferi",0
"L_dardennii",6.25681818181818
"L_elongatus",25.5587662337662
"H_microlepis",0
"Paracyprichromisspp",45
"T_moorii",88.0405844155844
"L_attenuatus",27.4940476190476
"L_labiatus",1.13571428571429
"L_tanganicanus",6.93571428571429
"X_papilio",26.6380952380952
"V_moorii",31.684632034632
"T_temporalis",4.15833333333333
"P_polyodon",3.52619047619048
"S_multipunctatus",1.96666666666667
