"","cause","effect"
"1","A_compressiceps","A_compressiceps"
"2","A_compressiceps","J_ornatus"
"3","A_compressiceps","N_fasciatus"
"4","A_compressiceps","O_ventralis"
"5","A_dewindti","A_dewindti"
"6","A_dewindti","I_loocki"
"7","A_dewindti","L_callipterus"
"8","A_dewindti","L_lemairii"
"9","A_dewindti","N_fasciatus"
"10","A_dewindti","N_sexfasciatus"
"11","A_dewindti","O_ventralis"
"12","A_dewindti","P_microlepis"
"13","A_dewindti","P_trewavasae"
"14","A_dewindti","T_vittatus"
"15","G_pfefferi","A_compressiceps"
"16","G_pfefferi","G_pfefferi"
"17","G_pfefferi","L_dardennii"
"18","G_pfefferi","L_elongatus"
"19","G_pfefferi","N_sexfasciatus"
"20","G_pfefferi","O_ventralis"
"21","G_pfefferi","P_microlepis"
"22","H_microlepis","H_microlepis"
"23","H_microlepis","Paracyprichromisspp"
"24","I_loocki","A_dewindti"
"25","I_loocki","I_loocki"
"26","I_loocki","N_fasciatus"
"27","I_loocki","O_ventralis"
"28","I_loocki","T_moorii"
"29","J_ornatus","A_dewindti"
"30","J_ornatus","J_ornatus"
"31","J_ornatus","L_callipterus"
"32","J_ornatus","N_fasciatus"
"33","J_ornatus","N_sexfasciatus"
"34","J_ornatus","O_ventralis"
"35","J_ornatus","P_microlepis"
"36","J_ornatus","T_moorii"
"37","J_ornatus","T_vittatus"
"38","L_attenuatus","L_attenuatus"
"39","L_attenuatus","L_callipterus"
"40","L_attenuatus","L_labiatus"
"41","L_attenuatus","L_tanganicanus"
"42","L_attenuatus","X_papilio"
"43","L_callipterus","A_compressiceps"
"44","L_callipterus","I_loocki"
"45","L_callipterus","L_callipterus"
"46","L_callipterus","L_dardennii"
"47","L_callipterus","L_tanganicanus"
"48","L_callipterus","N_fasciatus"
"49","L_callipterus","O_ventralis"
"50","L_callipterus","P_microlepis"
"51","L_callipterus","T_moorii"
"52","L_callipterus","X_papilio"
"53","L_dardennii","A_dewindti"
"54","L_dardennii","L_dardennii"
"55","L_dardennii","L_tanganicanus"
"56","L_dardennii","T_vittatus"
"57","L_dardennii","V_moorii"
"58","L_elongatus","L_elongatus"
"59","L_elongatus","T_temporalis"
"60","L_elongatus","V_moorii"
"61","L_labiatus","A_compressiceps"
"62","L_labiatus","L_labiatus"
"63","L_labiatus","T_moorii"
"64","L_lemairii","L_lemairii"
"65","L_lemairii","Paracyprichromisspp"
"66","L_tanganicanus","I_loocki"
"67","L_tanganicanus","L_tanganicanus"
"68","L_tanganicanus","P_microlepis"
"69","L_tanganicanus","P_polyodon"
"70","L_tanganicanus","T_moorii"
"71","N_fasciatus","A_dewindti"
"72","N_fasciatus","I_loocki"
"73","N_fasciatus","N_fasciatus"
"74","N_fasciatus","O_ventralis"
"75","N_fasciatus","P_microlepis"
"76","N_fasciatus","S_multipunctatus"
"77","N_fasciatus","T_moorii"
"78","N_fasciatus","T_vittatus"
"79","N_fasciatus","X_papilio"
"80","N_sexfasciatus","A_compressiceps"
"81","N_sexfasciatus","A_dewindti"
"82","N_sexfasciatus","N_sexfasciatus"
"83","N_sexfasciatus","O_ventralis"
"84","N_sexfasciatus","S_multipunctatus"
"85","N_sexfasciatus","T_moorii"
"86","N_sexfasciatus","T_vittatus"
"87","O_ventralis","A_dewindti"
"88","O_ventralis","I_loocki"
"89","O_ventralis","J_ornatus"
"90","O_ventralis","N_fasciatus"
"91","O_ventralis","O_ventralis"
"92","O_ventralis","P_microlepis"
"93","O_ventralis","T_moorii"
"94","O_ventralis","V_moorii"
"95","Paracyprichromisspp","A_compressiceps"
"96","Paracyprichromisspp","N_fasciatus"
