"","cause","effect"
"4","A_compressiceps","O_ventralis"
"6","A_dewindti","I_loocki"
"9","A_dewindti","N_fasciatus"
"12","A_dewindti","P_microlepis"
"13","A_dewindti","P_trewavasae"
"17","G_pfefferi","L_dardennii"
"23","H_microlepis","Paracyprichromisspp"
"27","I_loocki","O_ventralis"
"28","I_loocki","T_moorii"
"35","J_ornatus","P_microlepis"
"44","L_callipterus","I_loocki"
"48","L_callipterus","N_fasciatus"
"49","L_callipterus","O_ventralis"
"50","L_callipterus","P_microlepis"
"52","L_callipterus","X_papilio"
"55","L_dardennii","L_tanganicanus"
"57","L_dardennii","V_moorii"
"59","L_elongatus","T_temporalis"
"60","L_elongatus","V_moorii"
"61","L_labiatus","A_compressiceps"
"63","L_labiatus","T_moorii"
"65","L_lemairii","Paracyprichromisspp"
"70","L_tanganicanus","T_moorii"
"72","N_fasciatus","I_loocki"
"74","N_fasciatus","O_ventralis"
"76","N_fasciatus","S_multipunctatus"
"77","N_fasciatus","T_moorii"
"79","N_fasciatus","X_papilio"
"81","N_sexfasciatus","A_dewindti"
"83","N_sexfasciatus","O_ventralis"
"86","N_sexfasciatus","T_vittatus"
"87","O_ventralis","A_dewindti"
"88","O_ventralis","I_loocki"
"94","O_ventralis","V_moorii"
"100","P_microlepis","A_dewindti"
"101","P_microlepis","J_ornatus"
"103","P_microlepis","N_sexfasciatus"
"104","P_microlepis","O_ventralis"
"106","P_microlepis","P_trewavasae"
"108","P_polyodon","I_loocki"
"116","S_multipunctatus","N_fasciatus"
"117","S_multipunctatus","N_sexfasciatus"
"120","T_moorii","A_dewindti"
"121","T_moorii","I_loocki"
"126","T_moorii","V_moorii"
"127","T_moorii","X_papilio"
"130","T_vittatus","I_loocki"
"131","T_vittatus","N_sexfasciatus"
"133","T_vittatus","S_multipunctatus"
"136","T_vittatus","X_papilio"
"138","V_moorii","L_elongatus"
"139","V_moorii","N_sexfasciatus"
"140","V_moorii","O_ventralis"
"141","V_moorii","P_microlepis"
"142","V_moorii","P_polyodon"
"146","X_papilio","J_ornatus"
"148","X_papilio","P_microlepis"
"150","X_papilio","T_moorii"
