"","x"
"1","A_compressiceps"
"2","A_dewindti"
"3","Cyathopharynx"
"4","Cyprichromissp"
"5","E_cyanostictus"
"6","G_pfefferi"
"7","H_microlepis"
"8","I_loocki"
"9","J_ornatus"
"10","L_attenuatus"
"11","L_callipterus"
"12","L_dardennii"
"13","L_elongatus"
"14","L_labiatus"
"15","L_lemairii"
"16","L_tanganicanus"
"17","M_spp"
"18","N_caudopunctatus"
"19","N_fasciatus"
"20","N_pulcher"
"21","N_savoryi"
"22","N_sexfasciatus"
"23","O_ventralis"
"24","Paracyprichromisspp"
"25","P_fasciolatus"
"26","P_microlepis"
"27","P_polyodon"
"28","P_trewavasae"
"29","S_diagramma"
"30","Synodontis_multipunctatus"
"31","T_moorii"
"32","T_temporalis"
"33","T_vittatus"
"34","Variabilichromis_moorii"
"35","X_papilio"
"36","X_spilopterus"
