"","cause","effect"
"2","A_compressiceps","J_ornatus"
"3","A_compressiceps","N_fasciatus"
"7","A_dewindti","L_callipterus"
"8","A_dewindti","L_lemairii"
"10","A_dewindti","N_sexfasciatus"
"11","A_dewindti","O_ventralis"
"14","A_dewindti","T_vittatus"
"15","G_pfefferi","A_compressiceps"
"18","G_pfefferi","L_elongatus"
"19","G_pfefferi","N_sexfasciatus"
"20","G_pfefferi","O_ventralis"
"21","G_pfefferi","P_microlepis"
"24","I_loocki","A_dewindti"
"26","I_loocki","N_fasciatus"
"29","J_ornatus","A_dewindti"
"31","J_ornatus","L_callipterus"
"32","J_ornatus","N_fasciatus"
"33","J_ornatus","N_sexfasciatus"
"34","J_ornatus","O_ventralis"
"36","J_ornatus","T_moorii"
"37","J_ornatus","T_vittatus"
"39","L_attenuatus","L_callipterus"
"40","L_attenuatus","L_labiatus"
"41","L_attenuatus","L_tanganicanus"
"42","L_attenuatus","X_papilio"
"43","L_callipterus","A_compressiceps"
"46","L_callipterus","L_dardennii"
"47","L_callipterus","L_tanganicanus"
"51","L_callipterus","T_moorii"
"53","L_dardennii","A_dewindti"
"56","L_dardennii","T_vittatus"
"66","L_tanganicanus","I_loocki"
"68","L_tanganicanus","P_microlepis"
"69","L_tanganicanus","P_polyodon"
"71","N_fasciatus","A_dewindti"
"75","N_fasciatus","P_microlepis"
"78","N_fasciatus","T_vittatus"
"80","N_sexfasciatus","A_compressiceps"
"84","N_sexfasciatus","S_multipunctatus"
"85","N_sexfasciatus","T_moorii"
"89","O_ventralis","J_ornatus"
"90","O_ventralis","N_fasciatus"
"92","O_ventralis","P_microlepis"
"93","O_ventralis","T_moorii"
"95","Paracyprichromisspp","A_compressiceps"
"96","Paracyprichromisspp","N_fasciatus"
"98","Paracyprichromisspp","T_moorii"
"99","P_microlepis","A_compressiceps"
"102","P_microlepis","N_fasciatus"
"107","P_microlepis","T_moorii"
"109","P_polyodon","J_ornatus"
"111","P_trewavasae","A_dewindti"
"112","P_trewavasae","L_attenuatus"
"113","P_trewavasae","O_ventralis"
"115","P_trewavasae","T_moorii"
"119","S_multipunctatus","T_vittatus"
"122","T_moorii","L_elongatus"
"123","T_moorii","N_fasciatus"
"124","T_moorii","N_sexfasciatus"
"128","T_temporalis","L_callipterus"
"132","T_vittatus","P_polyodon"
"134","T_vittatus","T_moorii"
"137","V_moorii","A_dewindti"
"144","V_moorii","X_papilio"
"145","X_papilio","A_dewindti"
"147","X_papilio","L_elongatus"
"149","X_papilio","S_multipunctatus"
