"","x"
"1","A_dewindti"
"2","Cyathopharynx"
"3","G_pfefferi"
"4","H_microlepis"
"5","I_loocki"
"6","J_ornatus"
"7","L_attenuatus"
"8","L_callipterus"
"9","L_dardennii"
"10","L_elongatus"
"11","L_labiatus"
"12","L_lemairii"
"13","L_tanganicanus"
"14","N_fasciatus"
"15","N_sexfasciatus"
"16","O_ventralis"
"17","Paracyprichromisspp"
"18","P_microlepis"
"19","P_polyodon"
"20","P_trewavasae"
"21","S_multipunctatus"
"22","T_moorii"
"23","T_temporalis"
"24","T_vittatus"
"25","V_moorii"
"26","X_papilio"
