,cause,effect,CCMmatchList,AggmatchList,foodmatchList,lowermatchList,cantEmbeddingmatchList,linearitymatchList,SmapMean,causepopmean,effectpopmean,causepopsd,effectpopsd,causehabitat,effecthabitat,smapmin,smapX1st,smapmedian,smapmean,smapX3rd,smapmax,strength,Strength,ratio,Smap_cum_sum,Smap_abs_mean,Neg,Pos
1,Int.loo,Aul.dew,persistence,NA,NA,NA,NA,NA,0.3598831125,19.7,32.8,15.82143953,32.8,Unicellular_algae_feeder,Detritus_feeder,-0.03464978897,0.2866000572,0.3634567724,0.3598831125,0.4386031783,0.9007331372,positive,Positive,0.9736842105,13.67555828,0.3617067856,0,1
2,Jul.orn,Aul.dew,persistence,NA,NA,NA,NA,NA,0.2169735546,23.275,32.8,16.49706656,32.8,Sponge_feeder,Detritus_feeder,-0.7520426347,0.0440078138,0.1960635843,0.2169735546,0.4400942081,1.014741061,positive,Positive,0.7894736842,8.244995075,0.3272381614,0,1
3,Lim.dar,Aul.dew,persistence,NA,NA,NA,NA,NA,0.2673801922,9.75,32.8,6.993586806,32.8,Unicellular_algae_feeder,Detritus_feeder,-0.04075554821,0.227625821,0.2788327903,0.2673801922,0.3366632497,0.4307053974,positive,Positive,0.9736842105,10.1604473,0.2695252211,0,1
4,Neo.fas,Aul.dew,persistence,NA,NA,NA,NA,NA,0.07077743253,64.1,32.8,16.65763858,32.8,Shrimp_feeder,Detritus_feeder,-0.3877731261,-0.07119956317,0.06210820788,0.07077743253,0.2004735897,0.6207693038,positive,Positive,0.6052631579,2.689542436,0.1822669567,0,1
5,Oph.ven,Aul.dew,persistence,NA,NA,NA,NA,NA,-0.4253967487,77.95,32.8,37.39254691,32.8,Detritus_feeder,Detritus_feeder,-1.0327645,-0.5611413151,-0.4080255405,-0.4253967487,-0.2448715899,-0.03577761215,negative,Negative,1,16.16507645,0.4253967487,1,0
6,Per.mic,Aul.dew,persistence,NA,NA,NA,NA,NA,-0.2835583937,30.975,32.8,18.58105942,32.8,Scale_feeder,Detritus_feeder,-0.7304846578,-0.3898301059,-0.2788019076,-0.2835583937,-0.1509090193,0.08414530517,negative,Negative,0.9210526316,10.77521896,0.2890010797,1,0
7,Pet.pol,Aul.dew,persistence,NA,NA,NA,NA,NA,-0.02212191341,7.825,32.8,4.384632254,32.8,Unicellular_algae_feeder,Detritus_feeder,-0.5789533141,-0.133522316,0.01767823539,-0.02212191341,0.1382872935,0.2465650428,negative,Negative,0.5789473684,0.8406327094,0.1603653029,1,0
8,Pet.tre,Aul.dew,persistence,NA,NA,NA,NA,NA,0.2536216463,24.675,32.8,8.134722979,32.8,Unicellular_algae_feeder,Detritus_feeder,-0.1365375979,0.07355296317,0.1879763356,0.2536216463,0.4585880202,0.7331792723,positive,Positive,0.8421052632,9.637622559,0.270691081,0,1
9,Tro.moo,Aul.dew,persistence,NA,NA,NA,NA,NA,-0.4689434519,72.425,32.8,25.72027784,32.8,Filamentous_algae_feeder,Detritus_feeder,-0.8104170222,-0.5664043325,-0.4779794252,-0.4689434519,-0.3765947228,0.07006639803,negative,Negative,0.9736842105,17.81985117,0.4726311571,1,0
10,Var.moo,Aul.dew,persistence,NA,NA,NA,NA,NA,0.6187251171,129.15,32.8,30.64063834,32.8,Microfilamentous_algae_feeder,Detritus_feeder,0.06595079762,0.381383926,0.5132550217,0.6187251171,0.8004875714,1.401277401,positive,Positive,1,23.51155445,0.6187251171,0,1
11,Xen.pap,Aul.dew,persistence,NA,NA,NA,NA,NA,0.1791910673,5.575,32.8,3.29636552,32.8,Filamentous_algae_feeder,Detritus_feeder,-0.1065959118,0.1067183434,0.1685516408,0.1791910673,0.2340978488,0.5102488804,positive,Positive,0.8947368421,6.809260558,0.19241651,0,1
12,Aul.dew,Int.loo,persistence,NA,NA,NA,NA,NA,-0.1882792722,32.8,19.7,34.45636408,15.82143953,Detritus_feeder,Unicellular_algae_feeder,-0.4060819849,-0.3041134614,-0.1940249078,-0.1882792722,-0.0971445989,0.08463178781,negative,Negative,0.8947368421,7.154612343,0.1945800916,1,0
13,Gna.pfe,Int.loo,persistence,NA,NA,NA,NA,NA,-0.2328885567,7.5,19.7,4.585372507,15.82143953,Shrimp_feeder,Unicellular_algae_feeder,-0.7596244557,-0.5178268889,-0.2251487525,-0.2328885567,0.03863856022,0.2364899588,negative,Negative,0.7105263158,8.849765154,0.2978552279,1,0
14,Lam.cal,Int.loo,persistence,NA,NA,NA,NA,NA,-0.3661123389,11.55,19.7,10.65291582,15.82143953,Shrimp_feeder,Unicellular_algae_feeder,-0.9846722936,-0.5118494275,-0.3511293786,-0.3661123389,-0.1783076463,0.09013720189,negative,Negative,0.9473684211,13.91226888,0.3726081189,1,0
15,Lam.tan,Int.loo,persistence,NA,NA,NA,NA,NA,0.5238505429,36.625,19.7,35.79620915,15.82143953,Unicellular_algae_feeder,Unicellular_algae_feeder,-0.2783769308,0.4045927308,0.5651134966,0.5238505429,0.659523809,0.9224967681,positive,Positive,0.9736842105,19.90632063,0.5385019603,0,1
16,Neo.fas,Int.loo,persistence,NA,NA,NA,NA,NA,0.1819992612,64.1,19.7,16.65763858,15.82143953,Shrimp_feeder,Unicellular_algae_feeder,-0.1710914249,0.08695419921,0.1761928004,0.1819992612,0.2943317816,0.5485576685,positive,Positive,0.8684210526,6.915971927,0.2128087223,0,1
17,Oph.ven,Int.loo,persistence,NA,NA,NA,NA,NA,-0.1321040205,77.95,19.7,37.39254691,15.82143953,Detritus_feeder,Unicellular_algae_feeder,-0.4546042187,-0.2066891234,-0.1152362068,-0.1321040205,-0.04465421555,0.09489757358,negative,Negative,0.8684210526,5.019952781,0.1460209341,1,0
18,Par.spp,Int.loo,persistence,NA,NA,NA,NA,NA,0.1802416599,54.325,19.7,88.0132238,15.82143953,Zooplankton_feeder,Unicellular_algae_feeder,-0.3898825312,-0.04659541968,0.1745569616,0.1802416599,0.3711045494,0.8420802311,positive,Positive,0.7105263158,6.849183077,0.2681643919,0,1
19,Pet.pol,Int.loo,persistence,NA,NA,NA,NA,NA,-0.05634628101,7.825,19.7,4.384632254,15.82143953,Unicellular_algae_feeder,Unicellular_algae_feeder,-0.388824763,-0.1849319684,-0.04315053071,-0.05634628101,0.07852280521,0.3881344893,negative,Negative,0.6052631579,2.141158679,0.1587322332,1,0
