"A_compressiceps","A_dewindti","Cyathopharynx","C_horei","Cyprichromissp","Cunningtonia_longiventralis","E_cyanostictus","G_pfefferi","H_microlepis","I_loocki","J_ornatus","L_attenuatus","L_callipterus","L_cunningtoni","L_dardennii","L_elongatus","L_kendalli","L_labiatus","L_lemairii","L_mimicus","L_profundicola","L_tanganicanus","Lates_M","M_spp","N_busheri","N_caudopunctatus","N_cylindricus","N_fasciatus","N_furcifer","N_mustax","N_obscurus","N_petricola","N_prochilus","N_pulcher","N_savoryi","N_sexfasciatus","N_tetracanthus","O_ventralis","Paracyprichromisspp","P_curvifrons","P_famula","P_fasciolatus","P_microlepis","P_polyodon","P_horii","P_straeleni","P_trewavasae","S_diagramma","Synodontis_multipunctatus","T_moorii","T_temporalis","T_vittatus","Variabilichromis_moorii","X_papilio","X_sima","X_spilopterus","Xenotilapia_flavipinnis","Xenotilapia_boulengeri","Xenotilapia_sp"
1,1,1,0,16,1,16,11,0,3,25,31,12,2,1,10,1,11,6,1,1,2,1,0,0,4,3,73,1,1,2,1,0,20,45,5,0,50,144,0,3,1,13,13,0,6,37,23,0,53,16,105,114,9,0,18,0,0,0
4,21,8,1,31,0,24,11,0,9,25,3,12,0,2,19,2,14,3,0,0,18,2,3,0,0,6,81,2,0,3,2,0,27,42,10,1,69,2,0,3,6,18,10,0,5,46,16,11,89,13,193,151,7,0,28,0,0,0
4,95,2,1,300,4,33,9,0,16,17,5,22,0,12,29,1,13,3,0,0,7,0,6,0,0,4,33,0,0,1,1,0,23,35,6,0,85,3,1,4,1,16,9,0,3,29,14,1,110,13,83,152,4,3,24,0,0,0
11,1,2,0,54,2,30,6,2,3,95,22,27,0,7,22,1,10,2,3,0,124,0,11,0,7,6,92,2,1,0,1,0,33,40,18,1,50,114,0,0,5,24,6,0,3,17,36,18,73,16,316,133,6,0,43,0,0,0
1,9,0,0,45,0,38,1,0,3,30,5,12,0,5,23,0,11,1,1,0,28,0,2,0,10,4,66,0,0,3,1,0,10,52,1,0,53,15,4,6,1,19,16,1,3,40,5,7,104,15,196,99,0,0,41,0,0,0
2,3,2,0,19,0,37,2,0,3,35,1,13,0,5,4,0,10,5,0,0,43,0,1,0,12,2,50,1,1,0,2,0,19,36,3,0,105,5,0,2,0,10,7,0,2,27,11,6,89,8,181,134,6,1,10,0,0,0
6,1,0,0,55,0,46,12,1,6,26,4,5,0,1,24,0,11,5,1,0,67,0,7,0,8,4,69,1,1,0,1,1,36,48,4,0,83,23,0,2,0,42,10,1,0,34,8,13,97,7,137,129,11,0,37,0,0,0
4,9,0,0,3,0,25,11,6,17,30,7,9,0,5,4,0,14,1,0,1,15,0,5,0,4,6,76,0,2,3,1,1,17,68,5,0,113,1,0,0,2,17,8,0,1,33,4,11,67,5,162,162,10,0,27,0,0,0
3,63,0,0,364,6,30,6,8,7,16,10,17,0,23,16,1,11,3,0,0,143,0,7,0,8,0,67,0,0,0,1,0,18,58,2,2,75,0,0,0,0,32,4,0,9,29,15,3,58,4,173,130,8,0,18,0,0,0
1,45,2,0,0,0,41,5,0,52,18,0,3,0,10,5,0,6,6,2,0,37,1,6,0,13,2,62,1,0,0,2,0,19,49,2,0,91,2,1,1,1,20,4,0,2,20,15,3,36,6,186,141,9,0,31,0,0,0
