"","cause","effect"
"1","A_dewindti","A_dewindti"
"2","A_dewindti","I_loocki"
"3","A_dewindti","L_callipterus"
"4","A_dewindti","L_elongatus"
"5","A_dewindti","L_lemairii"
"6","A_dewindti","N_fasciatus"
"7","A_dewindti","N_sexfasciatus"
"8","A_dewindti","O_ventralis"
"9","A_dewindti","P_microlepis"
"10","A_dewindti","P_trewavasae"
"11","A_dewindti","T_moorii"
"12","A_dewindti","T_vittatus"
"13","G_pfefferi","G_pfefferi"
"14","G_pfefferi","I_loocki"
"15","G_pfefferi","L_dardennii"
"16","G_pfefferi","N_sexfasciatus"
"17","G_pfefferi","O_ventralis"
"18","G_pfefferi","P_microlepis"
"19","H_microlepis","H_microlepis"
"20","I_loocki","A_dewindti"
"21","I_loocki","I_loocki"
"22","I_loocki","L_tanganicanus"
"23","I_loocki","N_fasciatus"
"24","I_loocki","O_ventralis"
"25","I_loocki","T_moorii"
"26","J_ornatus","A_dewindti"
"27","J_ornatus","J_ornatus"
"28","J_ornatus","L_callipterus"
"29","J_ornatus","N_fasciatus"
"30","J_ornatus","N_sexfasciatus"
"31","J_ornatus","O_ventralis"
"32","J_ornatus","Paracyprichromisspp"
"33","J_ornatus","P_microlepis"
"34","J_ornatus","T_moorii"
"35","J_ornatus","T_vittatus"
"36","L_attenuatus","L_attenuatus"
"37","L_attenuatus","L_callipterus"
"38","L_attenuatus","L_labiatus"
"39","L_attenuatus","L_tanganicanus"
"40","L_attenuatus","T_moorii"
"41","L_attenuatus","X_papilio"
"42","L_callipterus","I_loocki"
"43","L_callipterus","J_ornatus"
"44","L_callipterus","L_callipterus"
"45","L_callipterus","L_dardennii"
"46","L_callipterus","L_tanganicanus"
"47","L_callipterus","N_fasciatus"
"48","L_callipterus","O_ventralis"
"49","L_callipterus","P_microlepis"
"50","L_callipterus","T_moorii"
"51","L_callipterus","X_papilio"
"52","L_dardennii","A_dewindti"
"53","L_dardennii","L_elongatus"
"54","L_dardennii","T_vittatus"
"55","L_dardennii","V_moorii"
"56","L_elongatus","L_elongatus"
"57","L_elongatus","V_moorii"
"58","L_labiatus","L_labiatus"
"59","L_labiatus","T_moorii"
"60","L_lemairii","L_lemairii"
"61","L_lemairii","Paracyprichromisspp"
"62","L_lemairii","P_polyodon"
"63","L_tanganicanus","I_loocki"
"64","L_tanganicanus","L_tanganicanus"
"65","L_tanganicanus","P_microlepis"
"66","L_tanganicanus","P_polyodon"
"67","L_tanganicanus","T_moorii"
"68","N_fasciatus","A_dewindti"
"69","N_fasciatus","I_loocki"
"70","N_fasciatus","O_ventralis"
"71","N_fasciatus","P_microlepis"
"72","N_fasciatus","S_multipunctatus"
