No.,cause,foodhabitat,col,foodhabit7,col7,position,Horiposition,equivalent,re–position,tribe,breeding,size,max_size,re–namesp,SpFullName,popmean,bindre–namesp
50,T_moorii,Filamentous_algae_feeder,darkorange,browser,darkorange,,34,,1,,,,14.5,Tro. moo,Tropheus moorii,72.425,Tro.moo
48,S_diagramma,Filamentous_algae_feeder,darkorange,browser,darkorange,,35,,2,,,,,Sim. dia,Simochromis diagramma,17.95,Sim.dia
51,T_temporalis,Filamentous_algae_feeder,darkorange,browser,darkorange,,36,,3,,,,10.2,Tel. tem,Telmatochromis temporalis,6.825,Tel.tem
40,P_curvifrons,Filamentous_algae_feeder,darkorange,browser,darkorange,,37,,4,,,,,Pse. cur,Pseudosimochromis curvifrons,0.9,Pse.cur
52,T_vittatus,Filamentous_algae_feeder,darkorange,browser,darkorange,,38,,5,,,,8.6,Tel. vit,Telmatochromis vittatus,159.55,Tel.vit
13,L_callipterus,Shrimp_feeder,pink,fry–feeder,royalblue1,2,3,L.lel,6,Lamprologini,substrate_guarding,10ŒŽ4“ú,10,Lam. cal,Lamprologus callipterus,11.55,Lam.cal
4,C_horei,Fry_feeder,royalblue1,fry–feeder,royalblue1,5,8,,7,Perissodini,mouth_breeding,17–15,17,Cte. hor,Ctenochromis horei,0.6,Chr.hor
12,L_attenuatus,Fry_feeder,royalblue1,fry–feeder,royalblue1,35,10,nomatch,8,non_cichlid,NA,9ŒŽ7“ú,9,Lep. att,Lepidiolamprologus attenuatus,3.775,Lep.att
37,N_tetracanthus,Fry_feeder,royalblue1,fry–feeder,royalblue1,,11,,9,,,,,Neo. tet,Neolamprologus tetracanthus,0.425,Neo.tet
2,A_dewindti,Detritus_feeder,rosybrown,fry–feeder,royalblue1,25,44,,10,Ectodini,mouth_breeding,NA,14,Aul. dew,Aulonocranus dewindti,32.8,Aul.dew
41,P_famula,Unicellular_algae_feeder,lightgreen,grazer,lightgreen,,24,,11,,,,,Pet. fam,Petrochromis famula,1.425,Pet.fam
42,P_fasciolatus,Unicellular_algae_feeder,lightgreen,grazer,lightgreen,,25,,12,,,,,Pet. fas,Petrochromis fasciolatus,4.65,Pet.fas
44,P_polyodon,Unicellular_algae_feeder,lightgreen,grazer,lightgreen,,26,,13,,,,21,Pet. pol,Petrochromis polyodon,7.825,Pet.pol
45,P_horii,Unicellular_algae_feeder,lightgreen,grazer,lightgreen,,27,,14,,,,,Pet. hor,Petrochromis horii,0.125,Pet.hor
47,P_trewavasae,Unicellular_algae_feeder,lightgreen,grazer,lightgreen,,28,,15,,,,18,Pet. tre,Petrochromis trewavasae,24.675,Pet.tre
7,E_cyanostictus,Microfilamentous_algae_feeder,green,grazer,lightgreen,31,40,,16,Lamprologini,substrate_guarding,6ŒŽ13“ú,13,Ere. cya,Eretmodus cyanostictus,33.975,Ere.cya
49,S_multipunctatus,Microfilamentous_algae_feeder,green,grazer,lightgreen,,42,,17,,,,27.5,Syn. mul,Synodontis multipunctatus,5.275,Syn.mul
,C_furcifer,Filamentous_algae_feeder,darkorange,omnivore,gray,,33,,18,,,,,Cya. fur,,,Cya.fur
