"","cause","effect","causemeantp0","effectmeantp0","causesdtp0","effectsdtp0","causehabtp0","effecthabtp0"
"1","A_compressiceps","A_compressiceps","3.375","3.375","2.1565344944241","3.375","Shrimp_feeder","Shrimp_feeder"
"2","A_compressiceps","J_ornatus","3.375","23.275","2.1565344944241","16.4970665613073","Shrimp_feeder","Sponge_feeder"
"3","A_compressiceps","N_fasciatus","3.375","64.1","2.1565344944241","16.6576385804508","Shrimp_feeder","Shrimp_feeder"
"4","A_compressiceps","O_ventralis","3.375","77.95","2.1565344944241","37.3925469058015","Shrimp_feeder","Detritus_feeder"
"5","A_dewindti","A_dewindti","32.8","32.8","34.4563640803992","32.8","Detritus_feeder","Detritus_feeder"
"6","A_dewindti","I_loocki","32.8","19.7","34.4563640803992","15.8214395273612","Detritus_feeder","Unicellular_algae_feeder"
"7","A_dewindti","L_callipterus","32.8","11.55","34.4563640803992","10.652915816086","Detritus_feeder","Shrimp_feeder"
"8","A_dewindti","L_lemairii","32.8","3.125","34.4563640803992","2.31148193113178","Detritus_feeder","Fish_feeder"
"9","A_dewindti","N_fasciatus","32.8","64.1","34.4563640803992","16.6576385804508","Detritus_feeder","Shrimp_feeder"
"10","A_dewindti","N_sexfasciatus","32.8","3.825","34.4563640803992","4.01208111480748","Detritus_feeder","Zoobenthos_feeder"
"11","A_dewindti","O_ventralis","32.8","77.95","34.4563640803992","37.3925469058015","Detritus_feeder","Detritus_feeder"
"12","A_dewindti","P_microlepis","32.8","30.975","34.4563640803992","18.5810594216468","Detritus_feeder","Scale_feeder"
"13","A_dewindti","P_trewavasae","32.8","24.675","34.4563640803992","8.13472297922418","Detritus_feeder","Unicellular_algae_feeder"
"14","A_dewindti","T_vittatus","32.8","159.55","34.4563640803992","47.1908020155601","Detritus_feeder","Filamentous_algae_feeder"
"15","G_pfefferi","A_compressiceps","7.5","3.375","4.58537250674806","3.375","Shrimp_feeder","Shrimp_feeder"
"16","G_pfefferi","G_pfefferi","7.5","7.5","4.58537250674806","4.58537250674806","Shrimp_feeder","Shrimp_feeder"
"17","G_pfefferi","L_dardennii","7.5","9.75","4.58537250674806","6.99358680579975","Shrimp_feeder","Unicellular_algae_feeder"
