"","effect","cause","menas"
"1","A_compressiceps","A_compressiceps","Min.   :-0.259769809193994"
"2","A_compressiceps","A_compressiceps","1st Qu.:-0.0736362903475114"
"3","A_compressiceps","A_compressiceps","Median :-5.50549106267039e-05"
"4","A_compressiceps","A_compressiceps","Mean   :-0.0231503011169001"
"5","A_compressiceps","A_compressiceps","3rd Qu.:0.0546017047713077"
"6","A_compressiceps","A_compressiceps","Max.   :0.1956105875203"
"7","A_compressiceps","A_compressiceps","NA's  :1"
"8","A_compressiceps","G_pfefferi","Min.   :-0.0394952723558443"
"9","A_compressiceps","G_pfefferi","1st Qu.:0.0926074634146521"
"10","A_compressiceps","G_pfefferi","Median :0.221321284993187"
"11","A_compressiceps","G_pfefferi","Mean   :0.201849627779029"
"12","A_compressiceps","G_pfefferi","3rd Qu.:0.295784773008534"
"13","A_compressiceps","G_pfefferi","Max.   :0.471777179588461"
"14","A_compressiceps","G_pfefferi","NA's  :1"
"15","A_compressiceps","L_callipterus","Min.   :0.119071439975513"
"16","A_compressiceps","L_callipterus","1st Qu.:0.511016826624425"
"17","A_compressiceps","L_callipterus","Median :0.61593918019024"
"18","A_compressiceps","L_callipterus","Mean   :0.61382971444931"
"19","A_compressiceps","L_callipterus","3rd Qu.:0.684267551855623"
"20","A_compressiceps","L_callipterus","Max.   :1.04970071298034"
"21","A_compressiceps","L_callipterus","NA's  :1"
"22","A_compressiceps","L_labiatus","Min.   :-0.213545370261963"
"23","A_compressiceps","L_labiatus","1st Qu.:-0.118173618910662"
"24","A_compressiceps","L_labiatus","Median :-0.0470188594311262"
"25","A_compressiceps","L_labiatus","Mean   :-0.0511810532970624"
"26","A_compressiceps","L_labiatus","3rd Qu.:0.00112056707138107"
"27","A_compressiceps","L_labiatus","Max.   :0.261612773746949"
"28","A_compressiceps","L_labiatus","NA's  :1"
"29","A_compressiceps","N_sexfasciatus","Min.   :-0.12980035080125"
"30","A_compressiceps","N_sexfasciatus","1st Qu.:0.261009732669546"
"31","A_compressiceps","N_sexfasciatus","Median :0.377457478165507"
"32","A_compressiceps","N_sexfasciatus","Mean   :0.33712998593915"
"33","A_compressiceps","N_sexfasciatus","3rd Qu.:0.430439278392084"
"34","A_compressiceps","N_sexfasciatus","Max.   :0.739328520578452"
"35","A_compressiceps","N_sexfasciatus","NA's  :1"
"36","A_compressiceps","Paracyprichromisspp","Min.   :-0.269655076815123"
"37","A_compressiceps","Paracyprichromisspp","1st Qu.:0.00505457119409395"
"38","A_compressiceps","Paracyprichromisspp","Median :0.0662001941339744"
"39","A_compressiceps","Paracyprichromisspp","Mean   :0.073948806226424"
"40","A_compressiceps","Paracyprichromisspp","3rd Qu.:0.144695037103034"
"41","A_compressiceps","Paracyprichromisspp","Max.   :0.274414531048776"
"42","A_compressiceps","Paracyprichromisspp","NA's  :1"
"43","A_compressiceps","P_microlepis","Min.   :-0.167799091364403"
"44","A_compressiceps","P_microlepis","1st Qu.:0.0342239112209124"
"45","A_compressiceps","P_microlepis","Median :0.16486381337859"
"46","A_compressiceps","P_microlepis","Mean   :0.162997505332301"
"47","A_compressiceps","P_microlepis","3rd Qu.:0.282092846456863"
"48","A_compressiceps","P_microlepis","Max.   :0.413896724475183"
"49","A_compressiceps","P_microlepis","NA's  :1"
"50","J_ornatus","J_ornatus","Min.   :-5.23398619931126"
"51","J_ornatus","J_ornatus","1st Qu.:-1.09340646302026"
