"","Species.name","Tribe","Abbreviation","Food.habit","mean","sd","Reasons to exclude from CCM","Centrality betweenness"
"1","Tropheus moorii","Tropheini","Tro.moo","Browser",72.4,25.7,"(Passed)","88.04"
"2","Simochromis diagramma","Tropheini","Sim.dia","Browser",18,17.4,"Linearity detected","-"
"3","Telmatochromis temporalis","Lamprologini","Tel.tem","Browser",6.8,5.4,"(Passed)","4.16"
"4","Pseudosimochromis curvifrons","Tropheini","Pse.cur","Browser",0.9,1.8,"Max. N < 10","-"
"5","Telmatochromis vittatus","Lamprologini","Tel.vit","Browser",159.6,47.2,"(Passed)","19.03"
"6","Lamprologus callipterus","Lamprologini","Lam.cal","Fry-Feeder",11.6,10.7,"(Passed)","71.53"
"7","Ctenochromis horei","Perissodini","Chr.hor","Fry-Feeder",0.6,1.5,"Max. N < 10","-"
"8","Lepidiolamprologus attenuatus","non_cichlid","Lep.att","Fry-Feeder",3.8,6.1,"(Passed)","27.49"
"9","Neolamprologus tetracanthus","Lamprologini","Neo.tet","Fry-Feeder",0.4,0.7,"Max. N < 10","-"
"10","Aulonocranus dewindti","Ectodini","Aul.dew","Fry-Feeder",32.8,34.5,"(Passed)","135.79"
"11","Petrochromis famula","Tropheini","Pet.fam","Grazer",1.4,1.6,"Max. N < 10","-"
"12","Petrochromis fasciolatus","Tropheini","Pet.fas","Grazer",4.7,17,"Projection failed","-"
"13","Petrochromis polyodon","Tropheini","Pet.pol","Grazer",7.8,4.4,"(Passed)","3.53"
"14","Petrochromis horii","Tropheini","Pet.hor","Grazer",0.1,0.4,"Max. N < 10","-"
"15","Petrochromis trewavasae","Tropheini","Pet.tre","Grazer",24.7,8.1,"(Passed)","47.62"
"16","Eretmodus cyanostictus","Lamprologini","Ere.cya","Grazer",34,16.8,"Linearity detected","-"
"17","Synodontis multipunctatus","non_cichlid","Syn.mul","Grazer",5.3,4.7,"(Passed)","1.97"
"18","Cunningtonia longiventralis","Lamprologini","Cun.lon","Nodata",0.7,1.4,"(Passed)","-"
"19","Lepidiolamprologus cunningtoni","Lamprologini","Lep.cun","Nodata",0.1,0.3,"Max. N < 10","-"
"20","Xenotilapia boulengeri","Ectodini","Xen.bou","Nodata",0.2,0.6,"(Passed)","-"
"21","Mastacembelus spp.","Tropheini","M.spp","Nodata",4.7,2.6,"Projection failed","-"
"22","Haplotaxodon microlepis","Tropheini","Hap.mic","Omnivore",4.8,8.9,"(Passed)","0"
"23","Limnotilapia dardennii","Lamprologini","Lim.dar","Omnivore",9.8,7,"(Passed)","6.26"
"24","Lamprichthys tanganicanus","Tropheini","Lam.tan","Omnivore",36.6,35.8,"(Passed)","6.94"
"25","Neolamprologus caudopunctatus","Lamprologini","Neo.cau","Omnivore",10.5,12.9,"Projection failed","-"
"26","Interochromis loocki","Lamprologini","Int.loo","Omnivore",19.7,15.8,"(Passed)","12.72"
"27","Cyprichromis sp","Tropheini","Cyp.spp","Omnivore",72.1,164,"Linearity detected","-"
"28","Neolamprologus buescheri","Lamprologini","Neo.bus","Omnivore",0,0.2,"Max. N < 10","-"
"29","Paracyprichromis spp","Cyprichromini","Par.spp","Omnivore",54.3,88,"(Passed)","45"
"30","Xenotilapia papilio","Ectodini","Xen.pap","Omnivore",5.6,3.3,"(Passed)","26.64"
"31","Variabilichromis moorii","Lamprologini","Var.moo","Omnivore",129.2,30.6,"(Passed)","31.68"
"32","Julidochromis ornatus","Lamprologini","Jul.orn","Omnivore",23.3,16.5,"(Passed)","36.88"
"33","Cyathopharynx spp","Ectodini","Cya.spp","Omnivore",2.8,4.2,"(Passed)","-"
"34","Ophthalmotilapia ventralis","Ectodini","Oph.ven","Omnivore",78,37.4,"(Passed)","26.64"
"35","Xenotilapia spiloptera","Ectodini","Xen.spi","Omnivore",26,12.4,"Projection failed","-"
"36","Xenotilapia flavipinnis","Ectodini","Xen.fla","Omnivore",0.2,1,"(Passed)","-"
"37","Neolamprologus savoryi","Perissodini","Neo.sav","Omnivore",31.6,13.9,"Linearity detected","-"
"38","Neolamprologus pulcher","Tropheini","Neo.pul","Omnivore",24.2,11,"Linearity detected","-"
"39","Xenotilapia sp","Ectodini","Xen.sp","Omnivore",0,0.3,"(Passed)","-"
"40","Neolamprologus fasciatus","Ectodini","Neo.fas","Piscivore",64.1,16.7,"(Passed)","58.36"
"41","Lepidiolamprologus elongatus","Lamprologini","Lep.elo","Piscivore",12.3,10.4,"(Passed)","25.56"
"42","Lepidiolamprologus kendalli","Lamprologini","Lep.ken","Piscivore",0.3,0.5,"Max. N < 10","-"
"43","Lamprologus lemairii","Tropheini","Lam.lem","Piscivore",3.1,2.3,"(Passed)","23"
"44","Lepidiolamprologus mimicus","Perissodini","Lep.mim","Piscivore",0.4,1,"Max. N < 10","-"
"45","Lepidiolamprologus profundicola","Tropheini","Lep.pro","Piscivore",0.7,0.9,"Max. N < 10","-"
"46","Lates spp.","non_cichlid","Lat.M","Piscivore",0.3,0.7,"Max. N < 10","-"
"47","Perissodus microlepis","Perissodini","Per.mic","Scale-Eater",31,18.6,"(Passed)","49.34"
"48","Plecodus straeleni","Perissodini","Per.str","Scale-Eater",2.2,2.1,"Max. N < 10","-"
"49","Altolamprologus compressiceps","Ectodini","Alt.com","Shrimp-Eater",3.4,2.2,"(Passed)","14.8"
"50","Gnathochromis pfefferi","Lamprologini","Gna.pfe","Shrimp-Eater",7.5,4.6,"(Passed)","0"
"51","Neolamprologus cylindricus","Lamprologini","Neo.cyl","Shrimp-Eater",3,1.9,"Max. N < 10","-"
"52","Neolamprologus furcifer","Cyprichromini","Neo.fur","Shrimp-Eater",1,0.9,"Max. N < 10","-"
"53","Neolamprologus obscurus","Lamprologini","Neo.obs","Shrimp-Eater",0.5,0.9,"Max. N < 10","-"
"54","Neolamprologus petricola","Lamprologini","Neo.pet","Shrimp-Eater",0.6,0.9,"Max. N < 10","-"
"55","Neolamprologus prochilus","Lamprologini","Neo.pro","Shrimp-Eater",0.7,0.9,"Max. N < 10","-"
"56","Xenotilapia sima","Ectodini","Xen.sim","Shrimp-Eater",0.3,0.8,"Max. N < 10","-"
"57","Lobochilotes labiatus","Ectodini","Lob.lab","Shrimp-Eater",9.9,3.3,"(Passed)","1.14"
"58","Neolamprologus mustax","Ectodini","Neo.mus","Shrimp-Eater",0.4,0.6,"Max. N < 10","-"
"59","Neolamprologus sexfasciatus","Lamprologini","Neo.sex","Shrimp-Eater",3.8,4,"(Passed)","23.88"
