"","cause.x","effect.x","causehabtp0","min","mean","max","strength","ratio","match_type","rmatch_type","match_reversed"
"2","A_compressiceps","J_ornatus","Shrimp_feeder",-0.379552792866364,0.705321333208973,2.73408921480735,"positive",0.815789473684211,"No Match","No Match",FALSE
"3","A_compressiceps","N_fasciatus","Shrimp_feeder",-0.291749192333921,0.143542022590602,0.489222653351218,"positive",0.763157894736842,"No Match","No Match",FALSE
"4","A_compressiceps","O_ventralis","Shrimp_feeder",-0.466613814590374,-0.0754990537821406,0.338388403957123,"negative",0.657894736842105,"No Match","No Match",FALSE
"6","A_dewindti","I_loocki","Detritus_feeder",-0.603405600685737,-0.231685976100237,0.0914477260150243,"negative",0.973684210526316,"No Match","No Match",TRUE
"7","A_dewindti","L_callipterus","Detritus_feeder",-0.723548400719315,0.235296771684571,2.31509632627562,"positive",0.552631578947368,"No Match","No Match",FALSE
"8","A_dewindti","L_lemairii","Detritus_feeder",-7.20518542695341,1.34227289287883,8.05247128198013,"positive",0.631578947368421,"No Match","No Match",FALSE
"9","A_dewindti","N_fasciatus","Detritus_feeder",-1.11990031363902,-0.122269701403292,0.384384507354645,"negative",0.552631578947368,"No Match","No Match",TRUE
"10","A_dewindti","N_sexfasciatus","Detritus_feeder",-0.171817494312742,0.112113234530357,0.56542638382316,"positive",0.763157894736842,"No Match","No Match",TRUE
"11","A_dewindti","O_ventralis","Detritus_feeder",-0.110985915298169,0.192526408159695,0.384871745623967,"positive",0.947368421052632,"No Match","No Match",TRUE
"12","A_dewindti","P_microlepis","Detritus_feeder",-1.55826844050919,-0.345332974492838,1.35476162384552,"negative",0.868421052631579,"No Match","No Match",TRUE
"13","A_dewindti","P_trewavasae","Detritus_feeder",-5.57175860257285,-0.671148985282279,2.71643457366478,"negative",0.605263157894737,"No Match","No Match",TRUE
"14","A_dewindti","T_vittatus","Detritus_feeder",-0.295373393424973,0.179631531588015,0.498503646385446,"positive",0.868421052631579,"No Match","No Match",FALSE
"15","G_pfefferi","A_compressiceps","Shrimp_feeder",-0.0394952723558443,0.201849627779029,0.471777179588461,"positive",0.947368421052632,"No Match","No Match",FALSE
"17","G_pfefferi","L_dardennii","Shrimp_feeder",-5.2267886552243,-0.251255218821848,5.04463540102746,"negative",0.5,"No Match","No Match",FALSE
"18","G_pfefferi","L_elongatus","Shrimp_feeder",-1.08211568723947,1.14405471412877,5.92039094148081,"positive",0.789473684210526,"No Match","No Match",FALSE
"19","G_pfefferi","N_sexfasciatus","Shrimp_feeder",-0.474527508566284,0.0679967613599497,0.422175702629018,"positive",0.736842105263158,"No Match","No Match",FALSE
"20","G_pfefferi","O_ventralis","Shrimp_feeder",0.134466411908486,0.541492825844446,1.00362874992348,"positive",1,"No Match","No Match",FALSE
"21","G_pfefferi","P_microlepis","Shrimp_feeder",-1.33744027334622,0.032017055854784,1.41212184399964,"positive",0.552631578947368,"Aggressor-Victim","Prey-Predator",FALSE
"23","H_microlepis","Paracyprichromisspp","Fry_feeder",-0.362661087574958,-0.280465819799647,-0.0714862633526051,"negative",1,"No Match","No Match",FALSE
"24","I_loocki","A_dewindti","Unicellular_algae_feeder",0.222856869207547,0.388169908547537,0.785783514855506,"positive",1,"No Match","No Match",TRUE
"26","I_loocki","N_fasciatus","Unicellular_algae_feeder",-0.509446242430508,0.124767745681,0.576109922119078,"positive",0.684210526315789,"No Match","No Match",TRUE
"27","I_loocki","O_ventralis","Unicellular_algae_feeder",-0.808591612419095,-0.370074785450008,0.0194425523529726,"negative",0.973684210526316,"No Match","No Match",TRUE
"28","I_loocki","T_moorii","Unicellular_algae_feeder",-0.618778235347742,-0.251802203565492,0.14326556773366,"negative",0.842105263157895,"No Match","No Match",TRUE
"29","J_ornatus","A_dewindti","Sponge_feeder",-0.445788684852124,0.13198919997132,0.817005546220117,"positive",0.736842105263158,"No Match","No Match",FALSE
"31","J_ornatus","L_callipterus","Sponge_feeder",-1.14185434674291,0.240757808991223,1.60855503651613,"positive",0.631578947368421,"No Match","No Match",FALSE
