"","cause.x","effect.x","causemeantp0","effectmeantp0","causesdtp0","effectsdtp0","causehabtp0","effecthabtp0","cause_effect","effect.y","cause.y","min","X1st","median","mean","X3rd","max","strength","ratio","effect_cause","match_type","rmatch_type","reversed_cause_effect","match_reversed"
"1","Alt.com","Oph.ven",3.375,77.95,2.1565344944241,37.3925469058015,"Shrimp_feeder","Detritus_feeder","A_compressiceps_O_ventralis","O_ventralis","A_compressiceps",-0.466613814590374,-0.231525487708215,-0.111349696303561,-0.0754990537821406,0.0833763124712536,0.338388403957123,"negative",0.657894736842105,"O_ventralis_A_compressiceps","No Match","No Match","O_ventralis_A_compressiceps",FALSE
"2","Gna.pfe","Lim.dar",7.5,9.75,4.58537250674806,6.99358680579975,"Shrimp_feeder","Unicellular_algae_feeder","G_pfefferi_L_dardennii","L_dardennii","G_pfefferi",-5.2267886552243,-1.38827690708236,-0.0458667553718157,-0.251255218821848,0.882091736252289,5.04463540102746,"negative",0.5,"L_dardennii_G_pfefferi","No Match","No Match","L_dardennii_G_pfefferi",FALSE
"3","Hap.mic","Par.spp",4.75,54.325,8.86002257333467,88.0132238024637,"Fry_feeder","Zooplankton_feeder","H_microlepis_Paracyprichromisspp","Paracyprichromisspp","H_microlepis",-0.362661087574958,-0.289867465264619,-0.281178657138501,-0.280465819799647,-0.277596074383827,-0.0714862633526051,"negative",1,"Paracyprichromisspp_H_microlepis","No Match","No Match","Paracyprichromisspp_H_microlepis",FALSE
"4","Lam.cal","Int.loo",11.55,19.7,10.652915816086,15.8214395273612,"Shrimp_feeder","Unicellular_algae_feeder","L_callipterus_I_loocki","I_loocki","L_callipterus",-0.762854345612183,-0.498227323299461,-0.342408500333923,-0.35542700635265,-0.210032317681959,0.00966819572961961,"negative",0.973684210526316,"I_loocki_L_callipterus","No Match","No Match","I_loocki_L_callipterus",FALSE
"5","Lam.cal","Neo.fas",11.55,64.1,10.652915816086,16.6576385804508,"Shrimp_feeder","Shrimp_feeder","L_callipterus_N_fasciatus","N_fasciatus","L_callipterus",-1.25498333266098,-0.304972082427252,0.0445005961964021,-0.0750890078596974,0.244941869034217,0.709616446235158,"negative",0.552631578947368,"N_fasciatus_L_callipterus","No Match","No Match","N_fasciatus_L_callipterus",FALSE
"6","Lam.cal","Oph.ven",11.55,77.95,10.652915816086,37.3925469058015,"Shrimp_feeder","Detritus_feeder","L_callipterus_O_ventralis","O_ventralis","L_callipterus",-0.644613051195102,-0.355186440374822,-0.209886010701776,-0.207530566035656,-0.0998266113053421,0.283339759390573,"negative",0.789473684210526,"O_ventralis_L_callipterus","No Match","No Match","O_ventralis_L_callipterus",FALSE
"7","Lam.cal","Per.mic",11.55,30.975,10.652915816086,18.5810594216468,"Shrimp_feeder","Scale_feeder","L_callipterus_P_microlepis","P_microlepis","L_callipterus",-2.03678050263056,-0.714731919531486,-0.348400213791945,-0.407400030995674,0.0308575006662733,0.653141674015276,"negative",0.736842105263158,"P_microlepis_L_callipterus","No Match","No Match","P_microlepis_L_callipterus",FALSE
"8","Lam.cal","Xen.pap",11.55,5.575,10.652915816086,3.29636551993641,"Shrimp_feeder","Filamentous_algae_feeder","L_callipterus_X_papilio","X_papilio","L_callipterus",-2.85907321769449,-0.975909245689178,-0.352587374903116,-0.488084155109407,-0.0229952532508101,0.943806561543218,"negative",0.763157894736842,"X_papilio_L_callipterus","No Match","No Match","X_papilio_L_callipterus",FALSE
"9","Lim.dar","Lam.tan",9.75,36.625,6.99358680579975,35.7962091532552,"Unicellular_algae_feeder","Unicellular_algae_feeder","L_dardennii_L_tanganicanus","L_tanganicanus","L_dardennii",-0.389438570574203,-0.171412492793395,-0.0350764351374764,-0.0387500372666881,0.121987964064489,0.331172450845125,"negative",0.657894736842105,"L_tanganicanus_L_dardennii","No Match","No Match","L_tanganicanus_L_dardennii",FALSE
"10","Lim.dar","Var.moo",9.75,129.15,6.99358680579975,30.6406383410777,"Unicellular_algae_feeder","Microfilamentous_algae_feeder","L_dardennii_V_moorii","V_moorii","L_dardennii",-2.47276631368035,-1.15321369611758,-0.701555482114032,-0.640573277969189,0.134345136371637,0.737153200422787,"negative",0.710526315789474,"V_moorii_L_dardennii","No Match","No Match","V_moorii_L_dardennii",FALSE
"11","Lep.elo","Tel.tem",12.325,6.825,10.4375738904186,5.41549296948709,"Fish_feeder","Filamentous_algae_feeder","L_elongatus_T_temporalis","T_temporalis","L_elongatus",-4.79022697364682,-1.69255960194583,-0.365358918015345,-0.361401657557099,0.467018311349899,5.83306542831018,"negative",0.578947368421053,"T_temporalis_L_elongatus","Predator-Prey","Prey-Predator","T_temporalis_L_elongatus",FALSE
"12","Lob.lab","Alt.com",9.95,3.375,3.29685164501389,3.375,"Zoobenthos_feeder","Shrimp_feeder","L_labiatus_A_compressiceps","A_compressiceps","L_labiatus",-0.213545370261963,-0.118173618910662,-0.0470188594311262,-0.0511810532970624,0.00112056707138107,0.261612773746949,"negative",0.736842105263158,"A_compressiceps_L_labiatus","No Match","No Match","A_compressiceps_L_labiatus",FALSE
"13","Lob.lab","Tro.moo",9.95,72.425,3.29685164501389,25.720277842739,"Zoobenthos_feeder","Filamentous_algae_feeder","L_labiatus_T_moorii","T_moorii","L_labiatus",-0.520745176953854,-0.360172732721513,-0.320495757549938,-0.300010435270483,-0.258449139473248,-0.0445435223723012,"negative",1,"T_moorii_L_labiatus","No Match","No Match","T_moorii_L_labiatus",FALSE
"14","Lam.lem","Par.spp",3.125,54.325,2.31148193113178,88.0132238024637,"Fish_feeder","Zooplankton_feeder","L_lemairii_Paracyprichromisspp","Paracyprichromisspp","L_lemairii",-0.138261536137001,-0.0960287375562055,-0.0880948471067025,-0.0880131108390975,-0.0839128342249971,-0.021490294280788,"negative",1,"Paracyprichromisspp_L_lemairii","No Match","No Match","Paracyprichromisspp_L_lemairii",FALSE
"15","Lam.tan","Tro.moo",36.625,72.425,35.7962091532552,25.720277842739,"Unicellular_algae_feeder","Filamentous_algae_feeder","L_tanganicanus_T_moorii","T_moorii","L_tanganicanus",-0.589971366439558,-0.423853999913572,-0.277919036820647,-0.303002509196455,-0.222462955799328,0.0979386820356067,"negative",0.921052631578947,"T_moorii_L_tanganicanus","No Match","No Match","T_moorii_L_tanganicanus",FALSE
"16","Neo.fas","Xen.pap",64.1,5.575,16.6576385804508,3.29636551993641,"Shrimp_feeder","Filamentous_algae_feeder","N_fasciatus_X_papilio","X_papilio","N_fasciatus",-1.64728748821273,-0.602611368180874,0.145648711912464,-0.0450757365917429,0.658011424759284,1.42928114926835,"negative",0.526315789473684,"X_papilio_N_fasciatus","No Match","No Match","X_papilio_N_fasciatus",FALSE
"17","Neo.sex","Oph.ven",3.825,77.95,4.01208111480748,37.3925469058015,"Zoobenthos_feeder","Detritus_feeder","N_sexfasciatus_O_ventralis","O_ventralis","N_sexfasciatus",-0.636225623341597,-0.324709045715565,-0.200627290849535,-0.21195035078207,-0.0871103842946256,0.194839416131528,"negative",0.842105263157895,"O_ventralis_N_sexfasciatus","No Match","No Match","O_ventralis_N_sexfasciatus",FALSE
