"","cause.x","effect.x","causemeantp0","effectmeantp0","causesdtp0","effectsdtp0","causehabtp0","effecthabtp0","cause_effect","effect.y","cause.y","min","X1st","median","mean","X3rd","max","strength","ratio","effect_cause","match_type","rmatch_type","reversed_cause_effect","match_reversed"
"1","Aul.dew","Neo.sex",32.8,3.825,34.4563640803992,4.01208111480748,"Detritus_feeder","Zoobenthos_feeder","A_dewindti_N_sexfasciatus","N_sexfasciatus","A_dewindti",-0.171817494312742,0.0317661926519364,0.131184233009681,0.112113234530357,0.201063238257837,0.56542638382316,"positive",0.763157894736842,"N_sexfasciatus_A_dewindti","No Match","No Match","N_sexfasciatus_A_dewindti",TRUE
"2","Aul.dew","Oph.ven",32.8,77.95,34.4563640803992,37.3925469058015,"Detritus_feeder","Detritus_feeder","A_dewindti_O_ventralis","O_ventralis","A_dewindti",-0.110985915298169,0.103395387976858,0.220223157921334,0.192526408159695,0.280102274458187,0.384871745623967,"positive",0.947368421052632,"O_ventralis_A_dewindti","No Match","No Match","O_ventralis_A_dewindti",TRUE
"3","Int.loo","Aul.dew",19.7,32.8,15.8214395273612,32.8,"Unicellular_algae_feeder","Detritus_feeder","I_loocki_A_dewindti","A_dewindti","I_loocki",0.222856869207547,0.341073960691453,0.386558563693253,0.388169908547537,0.419277026592144,0.785783514855506,"positive",1,"A_dewindti_I_loocki","No Match","No Match","A_dewindti_I_loocki",TRUE
"4","Int.loo","Neo.fas",19.7,64.1,15.8214395273612,16.6576385804508,"Unicellular_algae_feeder","Shrimp_feeder","I_loocki_N_fasciatus","N_fasciatus","I_loocki",-0.509446242430508,-0.048384823937239,0.117358505620793,0.124767745681,0.312672300762847,0.576109922119078,"positive",0.684210526315789,"N_fasciatus_I_loocki","No Match","No Match","N_fasciatus_I_loocki",TRUE
"5","Jul.orn","Oph.ven",23.275,77.95,16.4970665613073,37.3925469058015,"Sponge_feeder","Detritus_feeder","J_ornatus_O_ventralis","O_ventralis","J_ornatus",-0.536461124926721,-0.0122633243936289,0.137227543803589,0.172706374708867,0.442237696638512,0.738186712402996,"positive",0.736842105263158,"O_ventralis_J_ornatus","No Match","No Match","O_ventralis_J_ornatus",TRUE
"6","Neo.fas","Aul.dew",64.1,32.8,16.6576385804508,32.8,"Shrimp_feeder","Detritus_feeder","N_fasciatus_A_dewindti","A_dewindti","N_fasciatus",-0.225354717726018,-0.0333697542285795,0.102682920029435,0.0941001347699719,0.220157437036852,0.350943747231042,"positive",0.736842105263158,"A_dewindti_N_fasciatus","No Match","No Match","A_dewindti_N_fasciatus",TRUE
"7","Neo.fas","Per.mic",64.1,30.975,16.6576385804508,18.5810594216468,"Shrimp_feeder","Scale_feeder","N_fasciatus_P_microlepis","P_microlepis","N_fasciatus",-0.610344003181223,-0.386502503834571,-0.130122097756609,0.104477061743846,0.489169585973111,1.86085256486914,"positive",0.578947368421053,"P_microlepis_N_fasciatus","No Match","No Match","P_microlepis_N_fasciatus",TRUE
"8","Neo.sex","Syn.mul",3.825,5.275,4.01208111480748,4.65192267942886,"Zoobenthos_feeder","Microfilamentous_algae_feeder","N_sexfasciatus_S_multipunctatus","S_multipunctatus","N_sexfasciatus",-0.783264320934659,0.149492866033256,0.647762004138749,0.585006774211184,1.06699893516839,2.0569241495151,"positive",0.815789473684211,"S_multipunctatus_N_sexfasciatus","No Match","No Match","S_multipunctatus_N_sexfasciatus",TRUE
"9","Neo.sex","Tro.moo",3.825,72.425,4.01208111480748,25.720277842739,"Zoobenthos_feeder","Filamentous_algae_feeder","N_sexfasciatus_T_moorii","T_moorii","N_sexfasciatus",-0.305328663947531,0.0326569045465012,0.181094940114321,0.156559252616113,0.292934406766782,0.452281376769591,"positive",0.763157894736842,"T_moorii_N_sexfasciatus","No Match","No Match","T_moorii_N_sexfasciatus",TRUE
"10","Oph.ven","Jul.orn",77.95,23.275,37.3925469058015,16.4970665613073,"Detritus_feeder","Sponge_feeder","O_ventralis_J_ornatus","J_ornatus","O_ventralis",-2.10730713298258,0.0286131495000228,0.460377852174809,0.427952971574231,0.923128220876497,2.27305766546789,"positive",0.789473684210526,"J_ornatus_O_ventralis","No Match","No Match","J_ornatus_O_ventralis",TRUE
