"","cause.x","effect.x","causemeantp0","effectmeantp0","causesdtp0","effectsdtp0","causehabtp0","effecthabtp0","cause_effect","effect.y","cause.y","min","X1st","median","mean","X3rd","max","strength","ratio","effect_cause","match_type","rmatch_type","match_reversed"
"1","Aul.dew","Int.loo",32.8,19.7,34.4563640803992,15.8214395273612,"Detritus_feeder","Unicellular_algae_feeder","A_dewindti_I_loocki","I_loocki","A_dewindti",-0.603405600685737,-0.316463037879908,-0.22262422900058,-0.231685976100237,-0.143044515612535,0.0914477260150243,"negative",0.973684210526316,"I_loocki_A_dewindti","No Match","No Match",TRUE
"2","Aul.dew","Neo.fas",32.8,64.1,34.4563640803992,16.6576385804508,"Detritus_feeder","Shrimp_feeder","A_dewindti_N_fasciatus","N_fasciatus","A_dewindti",-1.11990031363902,-0.347003910305686,0.0416773466640513,-0.122269701403292,0.14746782004554,0.384384507354645,"negative",0.552631578947368,"N_fasciatus_A_dewindti","No Match","No Match",TRUE
"3","Aul.dew","Neo.sex",32.8,3.825,34.4563640803992,4.01208111480748,"Detritus_feeder","Zoobenthos_feeder","A_dewindti_N_sexfasciatus","N_sexfasciatus","A_dewindti",-0.171817494312742,0.0317661926519364,0.131184233009681,0.112113234530357,0.201063238257837,0.56542638382316,"positive",0.763157894736842,"N_sexfasciatus_A_dewindti","No Match","No Match",TRUE
"4","Aul.dew","Oph.ven",32.8,77.95,34.4563640803992,37.3925469058015,"Detritus_feeder","Detritus_feeder","A_dewindti_O_ventralis","O_ventralis","A_dewindti",-0.110985915298169,0.103395387976858,0.220223157921334,0.192526408159695,0.280102274458187,0.384871745623967,"positive",0.947368421052632,"O_ventralis_A_dewindti","No Match","No Match",TRUE
"5","Aul.dew","Per.mic",32.8,30.975,34.4563640803992,18.5810594216468,"Detritus_feeder","Scale_feeder","A_dewindti_P_microlepis","P_microlepis","A_dewindti",-1.55826844050919,-0.613927801688049,-0.301686929213712,-0.345332974492838,-0.113870442504466,1.35476162384552,"negative",0.868421052631579,"P_microlepis_A_dewindti","No Match","No Match",TRUE
"6","Aul.dew","Pet.tre",32.8,24.675,34.4563640803992,8.13472297922418,"Detritus_feeder","Unicellular_algae_feeder","A_dewindti_P_trewavasae","P_trewavasae","A_dewindti",-5.57175860257285,-1.98144518370359,-0.180864172477329,-0.671148985282279,0.613946110198628,2.71643457366478,"negative",0.605263157894737,"P_trewavasae_A_dewindti","No Match","No Match",TRUE
"7","Int.loo","Aul.dew",19.7,32.8,15.8214395273612,32.8,"Unicellular_algae_feeder","Detritus_feeder","I_loocki_A_dewindti","A_dewindti","I_loocki",0.222856869207547,0.341073960691453,0.386558563693253,0.388169908547537,0.419277026592144,0.785783514855506,"positive",1,"A_dewindti_I_loocki","No Match","No Match",TRUE
"8","Int.loo","Neo.fas",19.7,64.1,15.8214395273612,16.6576385804508,"Unicellular_algae_feeder","Shrimp_feeder","I_loocki_N_fasciatus","N_fasciatus","I_loocki",-0.509446242430508,-0.048384823937239,0.117358505620793,0.124767745681,0.312672300762847,0.576109922119078,"positive",0.684210526315789,"N_fasciatus_I_loocki","No Match","No Match",TRUE
"9","Int.loo","Oph.ven",19.7,77.95,15.8214395273612,37.3925469058015,"Unicellular_algae_feeder","Detritus_feeder","I_loocki_O_ventralis","O_ventralis","I_loocki",-0.808591612419095,-0.520359162770799,-0.380224626781697,-0.370074785450008,-0.236138287853169,0.0194425523529726,"negative",0.973684210526316,"O_ventralis_I_loocki","No Match","No Match",TRUE
"10","Int.loo","Tro.moo",19.7,72.425,15.8214395273612,25.720277842739,"Unicellular_algae_feeder","Filamentous_algae_feeder","I_loocki_T_moorii","T_moorii","I_loocki",-0.618778235347742,-0.434034506512371,-0.240580633705141,-0.251802203565492,-0.10115680105784,0.14326556773366,"negative",0.842105263157895,"T_moorii_I_loocki","No Match","No Match",TRUE
"11","Jul.orn","Oph.ven",23.275,77.95,16.4970665613073,37.3925469058015,"Sponge_feeder","Detritus_feeder","J_ornatus_O_ventralis","O_ventralis","J_ornatus",-0.536461124926721,-0.0122633243936289,0.137227543803589,0.172706374708867,0.442237696638512,0.738186712402996,"positive",0.736842105263158,"O_ventralis_J_ornatus","No Match","No Match",TRUE
