species,size,x,y,year,species_ccm
A_compressiceps,Lsize,1,-38,1995,A_compressiceps
A_compressiceps,Msize,2,-33,1995,A_compressiceps
A_compressiceps,Msize,1,-31,1995,A_compressiceps
A_compressiceps,Lsize,5,-31,1995,A_compressiceps
A_compressiceps,Lsize,4,-22,1995,A_compressiceps
A_compressiceps,Msize,8,-21,1995,A_compressiceps
A_compressiceps,Msize,1,-8,1995,A_compressiceps
A_compressiceps,Lsize,3,-34,1996,A_compressiceps
A_compressiceps,Lsize,1,-29,1996,A_compressiceps
A_compressiceps,Msize,3,-32,1996,A_compressiceps
A_compressiceps,Lsize,9,-27,1996,A_compressiceps
A_compressiceps,Ssize,9,-28,1996,A_compressiceps
A_compressiceps,Msize,9,-29,1996,A_compressiceps
A_compressiceps,Msize,3,-21,1996,A_compressiceps
A_compressiceps,Ssize,1,-18,1996,A_compressiceps
A_compressiceps,Lsize,3,-2,1996,A_compressiceps
A_compressiceps,Msize,9,-4,1996,A_compressiceps
A_compressiceps,Msize,1,-39,1997,A_compressiceps
A_compressiceps,Lsize,1,-38,1997,A_compressiceps
A_compressiceps,Msize,1,-33,1997,A_compressiceps
A_compressiceps,Ssize,8,-29,1997,A_compressiceps
A_compressiceps,Msize,4,-28,1997,A_compressiceps
A_compressiceps,Ssize,9,-28,1997,A_compressiceps
A_compressiceps,Msize,1,-24,1997,A_compressiceps
A_compressiceps,Msize,4,-21,1997,A_compressiceps
A_compressiceps,Msize,8,-20,1997,A_compressiceps
A_compressiceps,Ssize,9,-5,1997,A_compressiceps
A_compressiceps,Lsize,1,-36,1998,A_compressiceps
A_compressiceps,Msize,4,-36,1998,A_compressiceps
A_compressiceps,Ssize,2,-38,1998,A_compressiceps
A_compressiceps,Ssize,6,-38,1998,A_compressiceps
A_compressiceps,Ssize,10,-38,1998,A_compressiceps
A_compressiceps,Ssize,2,-39,1998,A_compressiceps
A_compressiceps,Ssize,8,-39,1998,A_compressiceps
A_compressiceps,Lsize,10,-39,1998,A_compressiceps
A_compressiceps,Msize,5,-40,1998,A_compressiceps
A_compressiceps,Msize,3,-25,1998,A_compressiceps
A_compressiceps,Ssize,7,-28,1998,A_compressiceps
A_compressiceps,Ssize,6,-29,1998,A_compressiceps
A_compressiceps,Ssize,6,-29,1998,A_compressiceps
A_compressiceps,Ssize,7,-29,1998,A_compressiceps
A_compressiceps,Msize,6,-31,1998,A_compressiceps
A_compressiceps,Msize,8,-31,1998,A_compressiceps
A_compressiceps,Lsize,4,-22,1998,A_compressiceps
A_compressiceps,Ssize,9,-3,1998,A_compressiceps
A_compressiceps,Ssize,1,-38,1999,A_compressiceps
A_compressiceps,Msize,5,-35,1999,A_compressiceps
A_compressiceps,Lsize,1,-34,1999,A_compressiceps
A_compressiceps,Ssize,9,-29,1999,A_compressiceps
A_compressiceps,Lsize,1,-22,1999,A_compressiceps
A_compressiceps,Ssize,1,-14,1999,A_compressiceps
A_compressiceps,Msize,1,-24,2000,A_compressiceps
A_compressiceps,Msize,7,-11,2000,A_compressiceps
A_compressiceps,Ssize,6,-1,2000,A_compressiceps
A_compressiceps,Ssize,2,-34,2001,A_compressiceps
A_compressiceps,Msize,7,-39,2001,A_compressiceps
A_compressiceps,Lsize,6,-36,2001,A_compressiceps
A_compressiceps,Lsize,5,-31,2001,A_compressiceps
A_compressiceps,Lsize,9,-31,2001,A_compressiceps
A_compressiceps,Msize,9,-30,2001,A_compressiceps
A_compressiceps,Ssize,4,-25,2001,A_compressiceps
A_compressiceps,Msize,10,-23,2001,A_compressiceps
A_compressiceps,Msize,10,-22,2001,A_compressiceps
A_compressiceps,Ssize,1,-39,2002,A_compressiceps
A_compressiceps,Msize,10,-33,2002,A_compressiceps
A_compressiceps,Ssize,2,-31,2002,A_compressiceps
