Species name,Tribe,Abbreviation,Trophic guild,Mean,SD,Reasons to exclude from CCM,Centrality betweenness
Altolamprologus compressiceps,Lamprologini,Alt.com,Shrimp eater,3.4,2.2,(Passed),14.8
Aulonocranus dewindti,Ectodini,Aul.dew,Fry feeder,32.8,34.5,(Passed),135.79
Cyathopharynx spp.,Ectodini,Cya.spp,Omnivore,2.8,4.2,(Passed),-
Ctenochromis horei,Haplochromini,Chr.hor,Fry feeder,0.6,1.5,Max. N < 10,-
Cyprichromis sp.,Cyprichromini,Cyp.spp,Omnivore,72.1,164,Linearity detected,-
Cunningtonia longiventralis,Ectodini,Cun.lon,No data,0.7,1.4,Max. N < 10,-
Eretmodus cyanostictus,Eretmodini,Ere.cya,Grazer,34,16.8,Linearity detected,-
Gnathochromis pfefferi,Haplochromini,Gna.pfe,Shrimp eater,7.5,4.6,(Passed),0
Haplotaxodon microlepis,Perissodini,Hap.mic,Omnivore,4.8,8.9,(Passed),0
Interochromis loocki,Haplochromini,Int.loo,Omnivore,19.7,15.8,(Passed),12.72
Julidochromis ornatus,Lamprologini,Jul.orn,Omnivore,23.3,16.5,(Passed),36.88
Lepidiolamprologus attenuatus,Lamprologini,Lep.att,Fry feeder,3.8,6.1,(Passed),27.49
Lamprologus callipterus,Lamprologini,Lam.cal,Fry feeder,11.6,10.7,(Passed),71.53
Lepidiolamprologus cunningtoni,Lamprologini,Lep.cun,No data,0.1,0.3,Max. N < 10,-
Limnotilapia dardennii,Haplochromini,Lim.dar,Omnivore,9.8,7,(Passed),6.26
Lepidiolamprologus elongatus,Lamprologini,Lep.elo,Piscivore,12.3,10.4,(Passed),25.56
Lepidiolamprologus kendalli,Lamprologini,Lep.ken,Piscivore,0.3,0.5,Max. N < 10,-
Lobochilotes labiatus,Haplochromini,Lob.lab,Shrimp eater,9.9,3.3,(Passed),1.14
Lamprologus lemairii,Lamprologini,Lam.lem,Piscivore,3.1,2.3,(Passed),23
Lepidiolamprologus mimicus,Lamprologini,Lep.mim,Piscivore,0.4,1,Max. N < 10,-
Lepidiolamprologus profundicola,Lamprologini,Lep.pro,Piscivore,0.7,0.9,Max. N < 10,-
Lamprichthys tanganicanus,non_cichlid,Lam.tan,Omnivore,36.6,35.8,(Passed),6.94
LatesI,non_cichlid,Lat.M,Piscivore,0.3,0.7,Max. N < 10,-
Mastacembelus spp.,non_cichlid,M.spp,No data,4.7,2.6,Projection failed,-
Neolamprologus buescheri,Lamprologini,Neo.bus,Omnivore,0,0.2,Max. N < 10,-
Neolamprologus caudopunctatus,Lamprologini,Neo.cau,Omnivore,10.5,12.9,Projection failed,-
Neolamprologus cylindricus,Lamprologini,Neo.cyl,Shrimp eater,3,1.9,Max. N < 10,-
Neolamprologus fasciatus,Lamprologini,Neo.fas,Piscivore,64.1,16.7,(Passed),58.36
Neolamprologus furcifer,Lamprologini,Neo.fur,Shrimp eater,1,0.9,Max. N < 10,-
Neolamprologus mustax,Lamprologini,Neo.mus,Shrimp eater,0.4,0.6,Max. N < 10,-
