,,,Smap coefficient,,,,,,
Causative species,Recipient species,Main food,Min,Mean,Max,Direction of mean,Ratio,Directly-obsered relationship,Reciprocal interaction
A_compressiceps,J_ornatus,Shrimp_feeder,-0.379552793,0.705321333,2.734089215,Positive,0.815789474,No Match,FALSE
A_compressiceps,N_fasciatus,Shrimp_feeder,-0.291749192,0.143542023,0.489222653,Positive,0.763157895,No Match,FALSE
A_compressiceps,O_ventralis,Shrimp_feeder,-0.466613815,-0.075499054,0.338388404,Negative,0.657894737,No Match,FALSE
A_dewindti,I_loocki,Detritus_feeder,-0.603405601,-0.231685976,0.091447726,Negative,0.973684211,No Match,TRUE
A_dewindti,L_callipterus,Detritus_feeder,-0.723548401,0.235296772,2.315096326,Positive,0.552631579,No Match,FALSE
A_dewindti,L_lemairii,Detritus_feeder,-7.205185427,1.342272893,8.052471282,Positive,0.631578947,No Match,FALSE
A_dewindti,N_fasciatus,Detritus_feeder,-1.119900314,-0.122269701,0.384384507,Negative,0.552631579,No Match,TRUE
A_dewindti,N_sexfasciatus,Detritus_feeder,-0.171817494,0.112113235,0.565426384,Positive,0.763157895,No Match,TRUE
A_dewindti,O_ventralis,Detritus_feeder,-0.110985915,0.192526408,0.384871746,Positive,0.947368421,No Match,TRUE
A_dewindti,P_microlepis,Detritus_feeder,-1.558268441,-0.345332974,1.354761624,Negative,0.868421053,No Match,TRUE
A_dewindti,P_trewavasae,Detritus_feeder,-5.571758603,-0.671148985,2.716434574,Negative,0.605263158,No Match,TRUE
A_dewindti,T_vittatus,Detritus_feeder,-0.295373393,0.179631532,0.498503646,Positive,0.868421053,No Match,FALSE
G_pfefferi,A_compressiceps,Shrimp_feeder,-0.039495272,0.201849628,0.47177718,Positive,0.947368421,No Match,FALSE
G_pfefferi,L_dardennii,Shrimp_feeder,-5.226788655,-0.251255219,5.044635401,Negative,0.5,No Match,FALSE
G_pfefferi,L_elongatus,Shrimp_feeder,-1.082115687,1.144054714,5.920390941,Positive,0.789473684,No Match,FALSE
G_pfefferi,N_sexfasciatus,Shrimp_feeder,-0.474527509,0.067996761,0.422175703,Positive,0.736842105,No Match,FALSE
G_pfefferi,O_ventralis,Shrimp_feeder,0.134466412,0.541492826,1.00362875,Positive,1,No Match,FALSE
G_pfefferi,P_microlepis,Shrimp_feeder,-1.337440273,0.032017056,1.412121844,Positive,0.552631579,"Aggressor-Victim, Prey-Predator",FALSE
H_microlepis,Paracyprichromisspp,Fry_feeder,-0.362661088,-0.28046582,-0.071486263,Negative,1,No Match,FALSE
I_loocki,A_dewindti,Unicellular_algae_feeder,0.222856869,0.388169909,0.785783515,Positive,1,No Match,TRUE
I_loocki,N_fasciatus,Unicellular_algae_feeder,-0.509446242,0.124767746,0.576109922,Positive,0.684210526,No Match,TRUE
I_loocki,O_ventralis,Unicellular_algae_feeder,-0.808591612,-0.370074785,0.019442552,Negative,0.973684211,No Match,TRUE
I_loocki,T_moorii,Unicellular_algae_feeder,-0.618778235,-0.251802204,0.143265568,Negative,0.842105263,No Match,TRUE
J_ornatus,A_dewindti,Sponge_feeder,-0.445788685,0.1319892,0.817005546,Positive,0.736842105,No Match,FALSE
J_ornatus,L_callipterus,Sponge_feeder,-1.141854347,0.240757809,1.608555037,Positive,0.631578947,No Match,FALSE
J_ornatus,N_fasciatus,Sponge_feeder,-0.85392521,0.379350887,1.607848517,Positive,0.736842105,No Match,FALSE
J_ornatus,N_sexfasciatus,Sponge_feeder,-0.858761359,0.12069666,0.698113776,Positive,0.815789474,No Match,FALSE
J_ornatus,O_ventralis,Sponge_feeder,-0.536461125,0.172706375,0.738186712,Positive,0.736842105,No Match,TRUE
J_ornatus,P_microlepis,Sponge_feeder,-1.635996093,-0.213500181,1.045233692,Negative,0.605263158,No Match,TRUE
J_ornatus,T_moorii,Sponge_feeder,-0.343108893,0.109758958,0.950643617,Positive,0.710526316,No Match,FALSE
J_ornatus,T_vittatus,Sponge_feeder,-0.532270593,0.268238699,1.10612495,Positive,0.842105263,No Match,FALSE
L_attenuatus,L_callipterus,Fry_feeder,-1.293282132,0.583600187,2.402882177,Positive,0.763157895,No Match,FALSE
L_attenuatus,L_labiatus,Fry_feeder,-6.158787303,0.145024387,10.26573211,Positive,0.657894737,No Match,FALSE
L_attenuatus,L_tanganicanus,Fry_feeder,-0.023398156,1.303966412,1.97816056,Positive,0.973684211,No Match,FALSE
L_attenuatus,X_papilio,Fry_feeder,-1.039796363,1.54138209,4.251606745,Positive,0.947368421,No Match,FALSE
L_callipterus,A_compressiceps,Shrimp_feeder,0.11907144,0.613829714,1.049700713,Positive,1,No Match,FALSE
L_callipterus,I_loocki,Shrimp_feeder,-0.762854346,-0.355427006,0.009668196,Negative,0.973684211,No Match,FALSE
L_callipterus,L_dardennii,Shrimp_feeder,-5.666510219,0.166786454,8.298005274,Positive,0.552631579,No Match,FALSE
L_callipterus,L_tanganicanus,Shrimp_feeder,-0.297113508,0.10351288,0.788009136,Positive,0.578947368,No Match,FALSE
L_callipterus,N_fasciatus,Shrimp_feeder,-1.254983333,-0.075089008,0.709616446,Negative,0.552631579,No Match,FALSE
L_callipterus,O_ventralis,Shrimp_feeder,-0.644613051,-0.207530566,0.283339759,Negative,0.789473684,No Match,FALSE
L_callipterus,P_microlepis,Shrimp_feeder,-2.036780503,-0.407400031,0.653141674,Negative,0.736842105,Prey-Predator,FALSE
L_callipterus,T_moorii,Shrimp_feeder,-0.208448125,0.362487938,0.923599903,Positive,0.921052632,Victim-Aggressor,FALSE
L_callipterus,X_papilio,Shrimp_feeder,-2.859073218,-0.488084155,0.943806562,Negative,0.763157895,No Match,FALSE
L_dardennii,A_dewindti,Unicellular_algae_feeder,0.12444068,0.263352916,0.382140713,Positive,1,No Match,FALSE
L_dardennii,L_tanganicanus,Unicellular_algae_feeder,-0.389438571,-0.038750037,0.331172451,Negative,0.657894737,No Match,FALSE
