,,,Smap coefficient,,,,,,,,
Causative species,Recipient species,Main food,Min,Q1,Median,Mean,Q3,Max,Direction of mean,Directly-observed relationship,Match reversed
G pfefferi,P microlepis,Shrimp feeder,-1.337,-0.156,0.043,0.032,0.324,1.412,Positive,"Aggressor-Victim, Prey-Predator",FALSE
L callipterus,P microlepis,Shrimp feeder,-2.037,-0.715,-0.348,-0.407,0.031,0.653,Negative,Prey-Predator,FALSE
L callipterus,T moorii,Shrimp feeder,-0.208,0.194,0.322,0.362,0.484,0.924,Positive,Victim-Aggressor,FALSE
L elongatus,T temporalis,Fish feeder,-4.790,-1.693,-0.365,-0.361,0.467,5.833,Negative,"Predator-Prey, Victim-Aggressor",FALSE
L tanganicanus,P microlepis,Unicellular algae feeder,-1.665,-0.240,0.091,0.065,0.509,0.826,Positive,Prey-Predator,FALSE
N fasciatus,P microlepis,Shrimp feeder,-0.610,-0.387,-0.130,0.104,0.489,1.861,Positive,Prey-Predator,TRUE
N fasciatus,T moorii,Shrimp feeder,-0.350,-0.207,-0.087,-0.060,0.096,0.343,Negative,Predator-Prey,TRUE
O ventralis,P microlepis,Detritus feeder,-0.209,0.274,0.571,0.563,0.751,1.491,Positive,Prey-Predator,TRUE
P microlepis,N fasciatus,Scale feeder,-0.166,0.090,0.251,0.315,0.529,1.309,Positive,Predator-Prey,TRUE
P microlepis,O ventralis,Scale feeder,-0.307,-0.119,-0.051,-0.037,0.056,0.270,Negative,Predator-Prey,TRUE
P microlepis,P trewavasae,Scale feeder,-3.029,-1.199,-0.216,-0.430,0.424,1.441,Negative,"Predator-Prey, Victim-Aggressor",FALSE
P microlepis,T moorii,Scale feeder,-0.338,-0.040,0.061,0.072,0.207,0.407,Positive,"Predator-Prey, Victim-Aggressor",FALSE
T moorii,N fasciatus,Filamentous algae feeder,-0.413,0.050,0.208,0.190,0.371,0.596,Positive,Prey-Predator,TRUE
T temporalis,L callipterus,Filamentous algae feeder,-2.115,-0.387,0.174,-0.011,0.360,0.969,Negative,Aggressor-Victim,FALSE
