(a),Trophic guild,Matched,Unmatched,Total,Matched ratio,Unmatched ratio
1,Shrimp eater,4,13,17,0.235,0.765
2,Fry feeder,2,20,22,0.091,0.909
3,Omnivore,12,32,44,0.273,0.727
4,Nodata,0,0,0,0,0
5,Grazer,0,9,9,0,1
6,Piscivore,0,11,11,0,1
7,Browser,1,13,14,0.071,0.929
8,Scale eater,0,8,8,0,1
,,,,,,
(b),Trophic guild,Matched,Unmatched,Total,Matched ratio,Unmatched ratio
1,Shrimp eater,4,11,15,0.267,0.733
2,Fry feeder,2,14,16,0.125,0.875
3,Omnivore,12,29,41,0.293,0.707
4,Nodata,0,0,0,0,0
5,Grazer,0,9,9,0,1
6,Piscivore,0,15,15,0,1
7,Browser,1,19,20,0.05,0.95
8,Scale eater,0,9,9,0,1
